date,env reset start date,get state calculated portfolio value,action,mvo calculated current portfolio value,calculated optimized weights,current composition,agent weights updated to,current sortino ratio,target sortino ratio,current weights,target weights,current cumulative return,Distance penalty,Scaled Sortino diff,Reward,Reward no scale,dai ceilings
2022-05-20,2022-05-20,,,,,,,,,,,,,,,,
2022-05-20,,9138785768.037464,,,,,,,,,,,,,,,
2022-05-20,2022-05-20,,,,,,,,,,,,,,,,
2022-05-20,,9138785768.037464,,,,,,,,,,,,,,,
2022-05-20,,,"{'stETH Vault_dai_ceiling': -0.25, 'ETH Vault_dai_ceiling': 0.25, 'BTC Vault_dai_ceiling': -1, 'Altcoin Vault_dai_ceiling': -1, 'Stablecoin Vault_dai_ceiling': 0, 'LP Vault_dai_ceiling': 0, 'RWA Vault_dai_ceiling': 0, 'PSM Vault_dai_ceiling': -0.5}",,,,,,,,,,,,,,
2022-06-14,,9276949855.29578,,,,,,,,,,,,,,,
2022-06-14,,,,9327820264.29578,,,,,,,,,,,,,
2022-06-14,,,,,[0.1  0.05 0.5  0.1  0.01 0.01 0.02 0.21],,,,,,,,,,,,
2022-06-14,,,,,,"BTC Vault_collateral_usd          0.13823
ETH Vault_collateral_usd          0.33547
stETH Vault_collateral_usd        0.08111
Stablecoin Vault_collateral_usd   0.05299
Altcoin Vault_collateral_usd      0.04574
LP Vault_collateral_usd           0.10747
RWA Vault_collateral_usd          0.00545
PSM Vault_collateral_usd          0.23354
Name: 2022-06-13 00:00:00, dtype: float64",,,,,,,,,,,
2022-06-14,,,,,,,"{'BTC Vault_collateral_usd': 0.1, 'ETH Vault_collateral_usd': 0.05, 'stETH Vault_collateral_usd': 0.5, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.010000000000002516, 'LP Vault_collateral_usd': 0.010000000000000002, 'RWA Vault_collateral_usd': 0.02, 'PSM Vault_collateral_usd': 0.21000000000009833}",,,,,,,,,,
2022-06-14,,,,,,,,-1.2405591555841884,,,,,,,,,
2022-06-14,,,,,,,,,11.810067153132513,,,,,,,,
