day,ETH Vault_collateral_usd,stETH Vault_collateral_usd,BTC Vault_collateral_usd,Altcoin Vault_collateral_usd,Stablecoin Vault_collateral_usd,LP Vault_collateral_usd,PSM Vault_collateral_usd,Step
2022-05-20 00:00:00+00:00,4415031780.64779,311290483.7275861,1039675445.3791366,286308957.87683076,233744057.9167525,254504107.7609582,2598230934.72841,Before
2022-05-21 00:00:00+00:00,4450359015.187714,314510167.49100125,1051677783.2343599,286308655.8078242,233744057.9167525,254571179.6967899,2616753105.245422,Before
2022-05-22 00:00:00+00:00,4529921207.197605,318874818.2528077,1084643625.4846702,280890624.6838933,233744057.9167525,254758470.7938203,2626906171.098678,Before
2022-05-23 00:00:00+00:00,4520264640.783701,333276478.1638334,1094524244.7983255,279135138.24917066,233744057.9167525,254758470.7938203,2764433420.342027,Before
2022-05-24 00:00:00+00:00,4400057808.287145,318422394.88725716,1064035697.0267584,238586434.93975025,233744057.9167525,255131711.9151139,2879427800.065936,Before
2022-05-25 00:00:00+00:00,4419662586.029965,316558271.2505688,1074324604.9536493,238549255.12251133,233744057.91675246,256529286.96418414,2938530503.563479,Before
2022-05-26 00:00:00+00:00,4100236861.203987,294029307.9245954,1033532642.8256981,231838918.50767452,233744057.91675246,304159575.4491378,2897297162.682264,Before
2022-05-27 00:00:00+00:00,4006632540.751357,278809058.1114533,1012054780.0175467,227271502.15550205,233744057.9167525,303328972.7625042,2941539702.105979,Before
2022-05-20 00:00:00+00:00,4361461591.550121,314283660.68783116,1069969574.4008131,292052807.0468788,238134253.33032438,263640177.3346085,2599243703.6870575,After
2022-05-21 00:00:00+00:00,4446708658.916637,282459718.9597018,1174088394.394374,288837566.4517555,238469987.0151312,199670930.59254307,2577688708.2499237,After
2022-05-22 00:00:00+00:00,4530135811.600292,295478079.72382665,1164254165.9991713,288388506.87961197,237125384.24933073,220224611.11018223,2594132415.865692,After
2022-05-23 00:00:00+00:00,4518478581.624371,378408147.19687104,1215140343.496272,272518025.4193611,238541052.46209165,241914963.63160557,2615135337.2171326,After
2022-05-24 00:00:00+00:00,4344042943.485699,349949548.85146165,1130878946.352931,255877696.100132,236431977.3896353,257418026.85261387,2814806766.0062866,After
2022-05-25 00:00:00+00:00,4431226864.160259,319072080.6473601,1109847615.601863,267468403.77768326,237665553.93786833,259781695.69611973,2852836351.9800415,After
2022-05-26 00:00:00+00:00,4121335197.8509326,290701204.52017236,1038418167.1069288,257320183.75391006,237992978.97900602,277015277.727858,2872055516.5713043,After
2022-05-27 00:00:00+00:00,3985124917.1377673,289150047.4875214,1021586885.9774122,237504783.71759415,235975969.7192709,317584919.51075596,2916453090.270874,After
2022-05-27 00:00:00+00:00,3985124917.1377673,289150047.4875214,1021586885.9774122,237504783.71759415,235975969.7192709,317584919.51075596,2916453090.270874,Before
2022-05-28 00:00:00+00:00,4055823749.658507,289104069.3801616,1014856644.3958243,226904421.04114926,233744002.91675243,309306403.96788335,2920080027.664455,Before
2022-05-29 00:00:00+00:00,4075992863.0986934,291716853.0975394,1022961244.3621619,226904421.04114926,233744002.91675246,309586065.3116378,2932024350.968689,Before
2022-05-30 00:00:00+00:00,4530345572.876826,320482264.1342683,1099235254.6374974,226861496.12591505,233744001.91675243,310918184.35352874,2980931403.2598867,Before
2022-05-31 00:00:00+00:00,4371198436.63301,339828212.74401927,1112598061.2479677,234740992.79629725,233744001.91675246,356565870.71376663,2998920984.3800216,Before
2022-06-01 00:00:00+00:00,4116271922.9117312,306624265.15969616,1072989405.4214913,215693182.79629722,233744001.91675246,356565870.71376663,3025117316.3813844,Before
2022-06-02 00:00:00+00:00,4052739754.6617975,306624265.15969616,1063992866.956824,215693182.79629722,233744001.91675246,361113089.6449571,3039176552.3289404,Before
2022-06-03 00:00:00+00:00,3923001770.5753684,300979624.1412138,1047284318.9899135,221204496.84933215,233744001.91675246,360099841.3232633,3056787336.8963184,Before
2022-05-27 00:00:00+00:00,3986929716.9207263,284567506.50686955,1058263516.92834,250010151.80749893,240192398.45796415,305264612.8374161,2878152710.3624268,After
2022-05-28 00:00:00+00:00,4003682196.3565173,309555737.5741589,1039876785.2583265,243441361.0038185,240599331.59537718,347355424.5575699,2865308482.6791534,After
2022-05-29 00:00:00+00:00,4031331056.571819,310663726.1626961,1026815557.0516615,243253542.70453262,239212620.67154905,312163402.9054093,2929489894.729309,After
2022-05-30 00:00:00+00:00,4460978355.00639,355494710.7127831,1109748255.2053785,248908979.27605057,237921253.417536,323731034.49409336,2965735589.1924744,After
2022-05-31 00:00:00+00:00,4385827423.014385,374435120.6942179,1109706566.3630323,233102772.7508583,235024152.0183966,346435588.2895035,2963064937.3013916,After
2022-06-01 00:00:00+00:00,4182801685.5736194,311298179.89794946,1073947022.2109632,223890720.87158585,233054185.14110777,346234572.2620377,2955779599.343796,After
2022-06-02 00:00:00+00:00,4095705182.730907,312473322.93506837,1052593413.8874769,217447090.69758987,232533385.90750334,383622302.8557877,2978709014.451172,After
2022-06-03 00:00:00+00:00,3973727012.8828845,280034789.3921883,1053405240.4499464,214984955.25671768,233450398.9249365,367700036.9262833,3019798956.8591614,After
2022-06-03 00:00:00+00:00,3973727012.8828845,280034789.3921883,1053405240.4499464,214984955.25671768,233450398.9249365,367700036.9262833,3019798956.8591614,Before
2022-06-04 00:00:00+00:00,3974016018.3040895,300980191.8113656,1054019707.1684825,221204496.84933215,233744001.91675246,370681055.76448625,3017870896.6972594,Before
2022-06-05 00:00:00+00:00,4082807114.756794,313614678.4422181,1061826103.9119121,221204496.84933218,233744001.91675246,370698897.20710266,3031062667.912276,Before
2022-06-06 00:00:00+00:00,4164107912.654373,316526180.69534856,1112079643.9044545,221204496.84933218,233744001.91675246,393187627.95679975,3021041232.864673,Before
2022-06-07 00:00:00+00:00,4049145677.2152486,301744238.60993016,1097728309.293119,227352366.03356862,233744001.91675246,394258679.87706995,3053740785.773785,Before
2022-06-08 00:00:00+00:00,4050060265.434433,296041082.29669654,1089669916.288779,227352366.03356862,233744001.91675246,469330116.4956557,3047997695.494999,Before
2022-06-09 00:00:00+00:00,4019070946.7880335,292957067.73844093,1081641959.0762315,235816356.83016944,233743991.91675246,473692781.1802647,3067429845.058098,Before
2022-06-10 00:00:00+00:00,3541923869.833551,303737780.7437755,1042921620.8971069,212844964.38838866,233743991.91675243,520271255.4918989,3073483141.2103667,Before
2022-06-03 00:00:00+00:00,3974112845.326305,289231762.5276406,1054331534.8382521,222158079.18133926,235903746.44314024,373861740.0754532,2993501682.3001404,After
2022-06-04 00:00:00+00:00,4002241430.946605,300045868.66016126,1058698763.7719984,220301330.45988846,233712155.0706961,379434786.79408115,2978082032.8083344,After
2022-06-05 00:00:00+00:00,4083533552.027477,322791273.5888808,1048645249.1869154,215597823.50168228,232026053.17448637,425469664.0587296,2986894345.458374,After
2022-06-06 00:00:00+00:00,4159493462.090862,349541544.9838431,1113871168.389247,217692262.0167427,232466636.40094206,405997658.2559952,2982828364.7042236,After
2022-06-07 00:00:00+00:00,4054394475.7979236,323794958.8261483,1098029019.057948,215308109.5711708,231678190.6693823,425200165.0296158,3009309139.7673645,After
2022-06-08 00:00:00+00:00,4059739750.365062,307319887.131902,1103910667.6261854,215955591.9914589,230582590.84501097,480048228.8540787,3016638727.1472626,After
2022-06-09 00:00:00+00:00,4027723805.710735,294294507.57049584,1105814625.6039686,217825362.07179642,230024457.53915617,486726678.4372696,3041943511.654648,After
2022-06-10 00:00:00+00:00,3577227302.0969653,316719805.32173276,1029790828.8277693,198567396.2132454,228366987.15437528,526690017.0665726,3051564287.8011017,After
2022-06-10 00:00:00+00:00,3577227302.0969653,316719805.32173276,1029790828.8277693,198567396.2132454,228366987.15437528,526690017.0665726,3051564287.8011017,Before
2022-06-11 00:00:00+00:00,3192710399.5449314,307197950.20563453,990056500.2524357,188267598.673276,233743991.91675246,540897165.3310341,3084290585.1915216,Before
2022-06-12 00:00:00+00:00,3237658083.510871,295577123.8752743,976811352.9742098,190178754.65677738,233743991.91675246,547521580.058538,3092049774.8204174,Before
2022-06-13 00:00:00+00:00,2525421718.3875704,280850590.37988114,880372453.9560483,163210144.05687377,233743991.91675243,513407350.8842432,3199822038.6765084,Before
2022-06-14 00:00:00+00:00,2371714631.397845,262150310.8344184,887290883.2913458,163489940.20526707,233743997.45382077,515443477.90266436,3268181328.5756764,Before
2022-06-15 00:00:00+00:00,2465598475.24448,268113244.38415918,887401102.9114784,163251741.34478813,233743997.45382077,578032402.095644,3193357631.3206496,Before
2022-06-16 00:00:00+00:00,2172837576.852699,251706387.51307154,852413575.6716983,158868544.86169684,233743997.45382077,600321473.677649,3195328984.3942604,Before
2022-06-17 00:00:00+00:00,1648748896.181031,243907328.25529677,1411845770.0495598,158868544.86169684,233743997.45382077,609323611.194768,3341277361.777893,Before
2022-06-10 00:00:00+00:00,3587282862.7134204,328127901.6217816,1032432913.6877546,189687031.43916702,225833537.78868315,541411542.6924272,3024150834.5385895,After
2022-06-11 00:00:00+00:00,3260450932.666118,270480931.2630131,1004508160.8218031,193789085.3419304,228275979.3898718,518363010.42860264,3061296091.2044067,After
2022-06-12 00:00:00+00:00,3117460907.782726,309357723.1619961,1075287856.3910627,163925118.66069412,226172794.9390814,564933970.5693192,3116402290.3079376,After
2022-06-13 00:00:00+00:00,2547078528.283855,221138372.88866925,872804615.1366224,164956039.45264053,230191493.30345365,523131428.98417515,3237527810.208542,After
2022-06-14 00:00:00+00:00,2363981352.0132556,264194690.45948148,837391587.1198988,149413033.05426407,236344439.67284605,536373179.1530289,3314316288.1883698,After
2022-06-15 00:00:00+00:00,2459549051.4305835,242892757.21943784,866870220.2459669,148465676.9445839,234066183.1701605,591547310.1961808,3246107395.548172,After
2022-06-16 00:00:00+00:00,2070684427.6095386,277492547.810591,831392280.5299025,128583405.39291763,233281879.76664183,635367546.5084367,3288418452.806885,After
2022-06-17 00:00:00+00:00,1828503783.0814624,321010834.6090138,1179331431.515895,121033491.70178604,238903492.51604673,609859189.8473649,3349073286.5024414,After
2022-06-17 00:00:00+00:00,1828503783.0814624,321010834.6090138,1179331431.515895,121033491.70178604,238903492.51604673,609859189.8473649,3349073286.5024414,Before
2022-06-18 00:00:00+00:00,1429287641.1373286,205394479.65616384,1272296188.7681153,108024933.73368102,233743997.45382077,620391520.1284419,3377385544.7720737,Before
2022-06-19 00:00:00+00:00,1714440931.57859,260629824.45867512,1370952044.8641887,108706063.6150748,233743997.45382077,629735849.1520909,3375254422.975672,Before
2022-06-20 00:00:00+00:00,1672779999.704762,252886469.88952208,1382850896.7966125,108706063.6150748,233743997.45382077,646125894.5835139,3349844890.52064,Before
