day,ETH Vault_collateral_usd,stETH Vault_collateral_usd,BTC Vault_collateral_usd,Altcoin Vault_collateral_usd,Stablecoin Vault_collateral_usd,LP Vault_collateral_usd,PSM Vault_collateral_usd,Step
2022-05-20 00:00:00+00:00,4415031780.64779,311290483.7275861,1039675445.3791366,286308957.87683076,233744057.9167525,254504107.7609582,2598230934.72841,Before
2022-05-21 00:00:00+00:00,4450359015.187714,314510167.49100125,1051677783.2343599,286308655.8078242,233744057.9167525,254571179.6967899,2616753105.245422,Before
2022-05-22 00:00:00+00:00,4529921207.197605,318874818.2528077,1084643625.4846702,280890624.6838933,233744057.9167525,254758470.7938203,2626906171.098678,Before
2022-05-23 00:00:00+00:00,4520264640.783701,333276478.1638334,1094524244.7983255,279135138.24917066,233744057.9167525,254758470.7938203,2764433420.342027,Before
2022-05-24 00:00:00+00:00,4400057808.287145,318422394.88725716,1064035697.0267584,238586434.93975025,233744057.9167525,255131711.9151139,2879427800.065936,Before
2022-05-25 00:00:00+00:00,4419662586.029965,316558271.2505688,1074324604.9536493,238549255.12251133,233744057.91675246,256529286.96418414,2938530503.563479,Before
2022-05-26 00:00:00+00:00,4100236861.203987,294029307.9245954,1033532642.8256981,231838918.50767452,233744057.91675246,304159575.4491378,2897297162.682264,Before
2022-05-27 00:00:00+00:00,4006632540.751357,278809058.1114533,1012054780.0175467,227271502.15550205,233744057.9167525,303328972.7625042,2941539702.105979,Before
2022-05-28 00:00:00+00:00,4055823749.658507,289104069.3801616,1014856644.3958243,226904421.04114926,233744002.91675243,309306403.96788335,2920080027.664455,Before
2022-05-29 00:00:00+00:00,4075992863.0986934,291716853.0975394,1022961244.3621619,226904421.04114926,233744002.91675246,309586065.3116378,2932024350.968689,Before
2022-05-30 00:00:00+00:00,4530345572.876826,320482264.1342683,1099235254.6374974,226861496.12591505,233744001.91675243,310918184.35352874,2980931403.2598867,Before
2022-05-31 00:00:00+00:00,4371198436.63301,339828212.74401927,1112598061.2479677,234740992.79629725,233744001.91675246,356565870.71376663,2998920984.3800216,Before
2022-06-01 00:00:00+00:00,4116271922.9117312,306624265.15969616,1072989405.4214913,215693182.79629722,233744001.91675246,356565870.71376663,3025117316.3813844,Before
2022-06-02 00:00:00+00:00,4052739754.6617975,306624265.15969616,1063992866.956824,215693182.79629722,233744001.91675246,361113089.6449571,3039176552.3289404,Before
2022-06-03 00:00:00+00:00,3923001770.5753684,300979624.1412138,1047284318.9899135,221204496.84933215,233744001.91675246,360099841.3232633,3056787336.8963184,Before
2022-06-04 00:00:00+00:00,3974016018.3040895,300980191.8113656,1054019707.1684825,221204496.84933215,233744001.91675246,370681055.76448625,3017870896.6972594,Before
2022-06-05 00:00:00+00:00,4082807114.756794,313614678.4422181,1061826103.9119121,221204496.84933218,233744001.91675246,370698897.20710266,3031062667.912276,Before
2022-06-06 00:00:00+00:00,4164107912.654373,316526180.69534856,1112079643.9044545,221204496.84933218,233744001.91675246,393187627.95679975,3021041232.864673,Before
2022-06-07 00:00:00+00:00,4049145677.2152486,301744238.60993016,1097728309.293119,227352366.03356862,233744001.91675246,394258679.87706995,3053740785.773785,Before
2022-06-08 00:00:00+00:00,4050060265.434433,296041082.29669654,1089669916.288779,227352366.03356862,233744001.91675246,469330116.4956557,3047997695.494999,Before
2022-06-09 00:00:00+00:00,4019070946.7880335,292957067.73844093,1081641959.0762315,235816356.83016944,233743991.91675246,473692781.1802647,3067429845.058098,Before
2022-06-10 00:00:00+00:00,3541923869.833551,303737780.7437755,1042921620.8971069,212844964.38838866,233743991.91675243,520271255.4918989,3073483141.2103667,Before
2022-06-11 00:00:00+00:00,3192710399.5449314,307197950.20563453,990056500.2524357,188267598.673276,233743991.91675246,540897165.3310341,3084290585.1915216,Before
2022-06-12 00:00:00+00:00,3237658083.510871,295577123.8752743,976811352.9742098,190178754.65677738,233743991.91675246,547521580.058538,3092049774.8204174,Before
2022-06-13 00:00:00+00:00,2525421718.3875704,280850590.37988114,880372453.9560483,163210144.05687377,233743991.91675243,513407350.8842432,3199822038.6765084,Before
2022-06-14 00:00:00+00:00,2371714631.397845,262150310.8344184,887290883.2913458,163489940.20526707,233743997.45382077,515443477.90266436,3268181328.5756764,Before
2022-06-15 00:00:00+00:00,2465598475.24448,268113244.38415918,887401102.9114784,163251741.34478813,233743997.45382077,578032402.095644,3193357631.3206496,Before
2022-06-16 00:00:00+00:00,2172837576.852699,251706387.51307154,852413575.6716983,158868544.86169684,233743997.45382077,600321473.677649,3195328984.3942604,Before
2022-06-17 00:00:00+00:00,1648748896.181031,243907328.25529677,1411845770.0495598,158868544.86169684,233743997.45382077,609323611.194768,3341277361.777893,Before
2022-06-18 00:00:00+00:00,1429287641.1373286,205394479.65616384,1272296188.7681153,108024933.73368102,233743997.45382077,620391520.1284419,3377385544.7720737,Before
2022-06-19 00:00:00+00:00,1714440931.57859,260629824.45867512,1370952044.8641887,108706063.6150748,233743997.45382077,629735849.1520909,3375254422.975672,Before
2022-06-20 00:00:00+00:00,1672779999.704762,252886469.88952208,1382850896.7966125,108706063.6150748,233743997.45382077,646125894.5835139,3349844890.52064,Before
2022-06-21 00:00:00+00:00,1711749472.1570141,270084178.9069523,1418614932.0725133,109684778.01339965,233743997.45382077,665687279.9299797,3358742304.102705,Before
2022-06-22 00:00:00+00:00,1648334214.5206447,249629586.87387362,1361854647.1973674,109208152.59283537,233743997.45382077,687301376.2774546,3355493225.524877,Before
2022-06-23 00:00:00+00:00,1711390137.2751555,261945378.76547962,1383082746.4079564,109208152.59283537,233743997.45382077,692410345.383838,3306409238.639173,Before
2022-06-24 00:00:00+00:00,1834969011.443634,287455909.050078,1400627076.9509735,109208152.59283537,233743997.45382077,702280384.5828702,3281913078.111337,Before
2022-06-25 00:00:00+00:00,1822528601.7990508,289232629.99265105,1407819183.3835623,109208152.59283537,233743997.45382077,709922097.6228435,3291952682.8467474,Before
2022-06-26 00:00:00+00:00,1833624442.8930953,321183673.143755,1424889370.1922126,109208152.59283537,233743997.45382077,709922097.6228435,3274105047.94502,Before
2022-06-27 00:00:00+00:00,1800714480.5521433,310731600.93737745,1382529579.7907062,109208152.59283537,233743997.45382077,710606118.3747959,3306970942.693201,Before
2022-06-28 00:00:00+00:00,1758510425.9982026,309030872.6737762,1342063737.3693879,133438431.51392002,233743997.45382077,710606118.3747959,3236933835.070785,Before
2022-06-29 00:00:00+00:00,1689810873.4948406,282629563.78562474,1284948326.6646113,131910945.34577225,233743997.45382077,705466717.6813599,3313992929.353012,Before
2022-06-30 00:00:00+00:00,1566357095.2439363,229308313.52320117,1198157016.04469,127858692.62744845,233743997.45382077,712088826.3625755,3295709364.229627,Before
2022-07-01 00:00:00+00:00,1648925245.4102821,231264758.0857212,1239693439.0373716,130883461.30873865,233743997.45382077,763382453.542478,3367970253.4003763,Before
2022-07-02 00:00:00+00:00,1635105164.115792,244763146.9252445,1233000918.2364619,130895755.70598865,233743997.45382077,713776803.4404888,3432619816.6680675,Before
2022-07-03 00:00:00+00:00,1640668087.3074389,245829804.3434848,1218297099.8552923,130895755.70598865,233743997.45382077,758514033.2021726,3419633232.9302173,Before
2022-07-04 00:00:00+00:00,1722064757.2615051,257824539.06416538,1269455368.4807308,131038128.02892375,233743997.45382077,761072338.4882779,3483659093.256469,Before
2022-07-05 00:00:00+00:00,1770218217.3075612,254964447.24399725,1258923467.9324305,131028416.45884812,233743997.45382077,764810645.0339506,3499205898.0296783,Before
2022-07-06 00:00:00+00:00,1768194993.689826,261531841.59618577,1270574368.410063,131132943.99778236,233743997.4538208,766367605.4216226,3481737411.5985355,Before
2022-07-07 00:00:00+00:00,1938085772.5457904,285634135.3018414,859331918.6918693,131207894.79994221,233743997.45382077,722971759.1580907,3605107128.364048,Before
2022-07-08 00:00:00+00:00,1914033181.961644,283537899.1822127,869510668.9697491,131207894.79994221,233743997.45382077,727964360.2407583,3616205183.909905,Before
2022-07-09 00:00:00+00:00,1894100499.8248363,279546467.6597933,869396583.7266375,131204181.70748812,233743997.45382077,751805688.7915959,3606119300.9473753,Before
2022-07-10 00:00:00+00:00,1811758196.0910406,278120229.0526275,844111244.4626284,131204181.70748812,233743897.45382077,706347396.3622068,3636746830.954853,Before
2022-07-11 00:00:00+00:00,1759538947.2627752,263204227.42448118,825382680.7705219,131217338.60074307,233743897.45382077,706309034.8934616,3671487465.808282,Before
2022-07-12 00:00:00+00:00,1648111519.826243,242837092.2233987,786374251.6643813,131217338.60074309,233743897.45382077,705288869.2211053,3618232647.936043,Before
2022-07-13 00:00:00+00:00,1681858843.0111113,231189084.57679847,803211900.6760743,139796450.36504576,233743897.45382077,710819936.0748882,3678444081.50279,Before
2022-07-14 00:00:00+00:00,1842518129.5416389,264682186.92320782,831780252.8899554,139796450.36504576,233743897.45382077,715200504.6035439,3716177187.259559,Before
2022-07-15 00:00:00+00:00,1912116852.6897585,285880965.2823981,846318934.0135015,157698600.73272765,233743897.45382077,716662641.7422465,3742929431.246677,Before
2022-07-16 00:00:00+00:00,2077560088.54525,313687078.20011866,855225516.0445235,157490526.0694889,233743897.45382077,754134727.0650116,3760358069.9102826,Before
2022-07-17 00:00:00+00:00,2101957917.941762,312369093.2461133,855527348.8712637,157490526.0694889,233743897.45382077,904932818.2075353,3736951416.2979207,Before
2022-07-18 00:00:00+00:00,2323424984.1083198,362056855.1490663,908909292.7039868,157490526.0694889,233743897.4538208,952154897.6220361,3702578058.533168,Before
2022-07-19 00:00:00+00:00,2435217588.616429,381430381.4633546,949100826.346551,158515256.9257654,233743897.45382077,951343832.6040248,3729670520.13252,Before
2022-07-20 00:00:00+00:00,2437285560.469825,382933514.36600125,957790220.0758688,158514826.7993204,233743897.45382077,951725031.9486238,3746869872.80682,Before
2022-07-21 00:00:00+00:00,2492997940.884044,378596678.98649377,912556467.2492706,158049851.62146592,233743897.45382077,1635284674.4907901,3725544169.603196,Before
2022-07-22 00:00:00+00:00,2398611532.1581135,378088794.3228312,932367311.208763,157875360.14664713,233743897.45382077,1781108189.1838503,3639962079.017031,Before
2022-07-23 00:00:00+00:00,2337425495.956166,376174405.391292,901082059.8821474,157875360.14664716,233743247.45382074,1867880458.4562616,3605215774.239406,Before
2022-07-24 00:00:00+00:00,2437794798.265416,397741084.1310288,914978509.2427963,157875360.14664716,233743247.45382074,1867955284.29645,3598247463.981625,Before
2022-07-25 00:00:00+00:00,2285723186.8387246,375440720.037976,887559619.6278235,157683185.99215165,233743247.45382074,1867958183.212514,3582805860.406533,Before
2022-07-26 00:00:00+00:00,2087376322.1320677,341534888.2170533,847416606.3723314,157323238.0008752,233743247.45382074,1970831404.9290688,3491757792.973617,Before
