, ,assets_size,assets_stablecoins,assets_usdc,dt,stablecoins_ratio,usdc_ratio
0,1.0,4692077547.488323,510492745.87886524,509792133.977095,2024-03-21T00:00:00Z,0.108798872293177,0.1086495542363718
1,1.0,4665516334.765017,451367053.86687624,450666441.965106,2024-03-20T00:00:00Z,0.09674535924427533,0.09659519110606743
2,1.0,4703718034.835948,404362171.81837136,403655435.551147,2024-03-19T00:00:00Z,0.08596649901708539,0.0858162484574238
3,1.0,4744355701.713676,399931319.66185737,399224583.394633,2024-03-18T00:00:00Z,0.08429623426367482,0.08414727067163869
4,1.0,4699947545.505954,632391001.1862255,631684264.9190011,2024-03-17T00:00:00Z,0.13455277852854164,0.13440240743176202
5,1.0,4690603920.395159,567799724.9720135,567092988.704789,2024-03-16T00:00:00Z,0.12105045205440823,0.12089978142025994
6,1.0,4686281490.966695,560980109.4682314,560273373.201007,2024-03-15T00:00:00Z,0.11970687432020038,0.11955606471378073
7,1.0,4596912826.179439,349726220.89940035,349019484.632176,2024-03-14T00:00:00Z,0.07607849748807678,0.07592475598939108
8,1.0,4592435444.112529,353677309.4236773,352970573.15645295,2024-03-13T00:00:00Z,0.07701301710775037,0.07685912571922135
9,1.0,4575038603.730802,777248608.8466305,776541872.579406,2024-03-12T00:00:00Z,0.16988897278654838,0.16973449621740028
10,1.0,4579294356.947575,762431804.7570825,761725068.489858,2024-03-11T00:00:00Z,0.16649547841368675,0.16634114540686612
11,1.0,4582132874.68444,638790291.9544125,638083555.687188,2024-03-10T00:00:00Z,0.13940894108148366,0.13925470368013526
12,1.0,4409003954.005726,458472195.9374434,457765459.670219,2024-03-09T00:00:00Z,0.10398543542264375,0.10382514156158194
13,1.0,4408265939.968179,451757481.0668094,451050744.79958504,2024-03-08T00:00:00Z,0.10247963421872648,0.10231931352191537
14,1.0,4458348589.998227,352205311.1673304,351498574.900106,2024-03-07T00:00:00Z,0.07899905179183632,0.07884053205006246
15,1.0,4826102478.163483,375154257.7058924,374447521.438668,2024-03-06T00:00:00Z,0.07773441600201017,0.07758797562482753
16,1.0,4773478079.044211,225952971.47284937,225246235.205625,2024-03-05T00:00:00Z,0.04733508098943479,0.04718702620516188
17,1.0,4974581409.127978,210832660.16006535,210125923.89284098,2024-03-04T00:00:00Z,0.042381990125481404,0.04223992063076421
18,1.0,5000641938.3982725,185267416.51117536,184560680.243951,2024-03-03T00:00:00Z,0.037048726702179624,0.03690739759365106
19,1.0,4992536873.759869,200832136.8060014,200125400.53877702,2024-03-02T00:00:00Z,0.040226470406568106,0.04008491185926145
20,1.0,5016192091.525848,285516857.28912234,284810121.021898,2024-03-01T00:00:00Z,0.056919043784519924,0.05677815279503443
21,1.0,4996165070.252593,289021907.04484737,288315170.777623,2024-02-29T00:00:00Z,0.05784875058786542,0.05770729483984934
22,1.0,4992648607.8282385,329823670.9198213,329066984.65259695,2024-02-28T00:00:00Z,0.06606186351722677,0.06591030342825156
23,1.0,4973699953.918902,360444116.3175404,360442028.770316,2024-02-27T00:00:00Z,0.07247001621670754,0.07246959649954653
24,1.0,4963438003.536537,392615813.9506444,392613726.40342,2024-02-26T00:00:00Z,0.07910158516554426,0.07910116458061443
25,1.0,4942191944.8610325,396862833.5764764,396860746.029252,2024-02-25T00:00:00Z,0.08030097535753149,0.08030055296454318
26,1.0,4937705183.715703,394439527.0693484,394437439.522124,2024-02-24T00:00:00Z,0.07988316685455212,0.07988274407774655
27,1.0,4923714724.191947,381130181.4990124,381128093.951788,2024-02-23T00:00:00Z,0.07740703977555512,0.07740661579745294
28,1.0,4904828233.372433,488904733.40342844,488902645.85620403,2024-02-22T00:00:00Z,0.09967825785965806,0.09967783224898932
29,1.0,4917968749.430015,453498635.2915554,453496547.744331,2024-02-21T00:00:00Z,0.09221258987140071,0.09221216539793804
30,1.0,4916283509.481045,360419912.0434674,360417824.496243,2024-02-20T00:00:00Z,0.07331145800448614,0.07331103338551932
31,1.0,4955465808.394164,419019977.4221524,419017889.874928,2024-02-19T00:00:00Z,0.08455713218974611,0.08455671092819268
32,1.0,4908466392.633063,281823832.3431034,281821744.795879,2024-02-18T00:00:00Z,0.0574158626747618,0.057415437379556046
33,1.0,4901012359.992044,281550721.7759354,281548634.228711,2024-02-17T00:00:00Z,0.05744746209462578,0.05744703615258135
34,1.0,4878587430.452058,279271805.1655854,279269717.618361,2024-02-16T00:00:00Z,0.057244398946788504,0.0572439710468576
35,1.0,4894160567.649583,297066467.4107434,297064379.863519,2024-02-15T00:00:00Z,0.0606981449228196,0.06069771838445913
36,1.0,4864270676.884008,308472653.0074034,308470565.460179,2024-02-14T00:00:00Z,0.06341601310826048,0.06341558394891408
37,1.0,4868474972.761541,368162954.9699673,352022731.073119,2024-02-13T00:00:00Z,0.0756218234723993,0.07230657095756649
38,1.0,4875790582.754074,377177588.7297217,310870638.652833,2024-02-12T00:00:00Z,0.07735721670734148,0.06375799644726307
39,1.0,4909654502.554153,608528289.6766077,491852686.67971903,2024-02-11T00:00:00Z,0.12394523674935427,0.10018071259878716
40,1.0,4893999029.576066,598907783.7425457,482829839.745657,2024-02-10T00:00:00Z,0.1223759506536774,0.09865752666229713
41,1.0,4879268189.564518,562392214.4626007,446314270.46571195,2024-02-09T00:00:00Z,0.11526159100362857,0.09147155948924099
42,1.0,4857161202.71776,554640727.3030847,438008508.699296,2024-02-08T00:00:00Z,0.11419030667393598,0.09017788177469056
43,1.0,4858378929.358797,560025672.357768,443242356.062418,2024-02-07T00:00:00Z,0.11527006857649112,0.09123256182920186
44,1.0,4865545762.56082,632883434.0414231,516100117.746073,2024-02-06T00:00:00Z,0.13007450035950865,0.10607240028802868
45,1.0,4847378775.921526,502235156.0591152,385451839.76376504,2024-02-05T00:00:00Z,0.1036096371411859,0.07951758209579723
46,1.0,4874702386.252317,496015060.96467113,379231744.669321,2024-02-04T00:00:00Z,0.10175289108183047,0.07779587647008647
47,1.0,4874896955.00931,493525127.09613717,376741810.80078703,2024-02-03T00:00:00Z,0.10123806341978252,0.0772820049895942
48,1.0,4868761847.304788,439607281.36684215,322823965.071492,2024-02-02T00:00:00Z,0.09029139135449737,0.06630514598905643
49,1.0,4881085792.418205,452915570.73322344,335982275.944438,2024-02-01T00:00:00Z,0.09278992215968374,0.06883351168838694
50,1.0,4885022529.003455,447609892.71780944,330676597.929024,2024-01-31T00:00:00Z,0.0916290334507673,0.06769192894520427
51,1.0,5121745479.289724,505057022.08399945,388123727.295214,2024-01-30T00:00:00Z,0.09861033199057755,0.07577958117298683
52,1.0,5209786495.864335,493399569.4595036,376111556.48080295,2024-01-29T00:00:00Z,0.09470629359786185,0.07219327639997726
53,1.0,5221315252.632354,491567602.0180133,372993001.626729,2024-01-28T00:00:00Z,0.09414631720813772,0.0714365985541062
54,1.0,5220059520.286539,496927808.8092339,377838608.831958,2024-01-27T00:00:00Z,0.09519581278298463,0.07238204992942641
55,1.0,5220365651.326452,498146564.5179702,379001484.07485205,2024-01-26T00:00:00Z,0.09542369209164404,0.07260056275532172
56,1.0,5209866516.329322,514007295.4490291,394432025.839939,2024-01-25T00:00:00Z,0.09866035796463736,0.07570866251633662
57,1.0,5184647208.210159,474343563.6332941,354966724.229093,2024-01-24T00:00:00Z,0.09149003675354156,0.06846497167000769
