DATE,M1SL
2019-11-01,3952.8
2019-12-01,4008.4
2020-01-01,3977.6
2020-02-01,3979.6
2020-03-01,4260.9
2020-04-01,4788.8
2020-05-01,16245.5
2020-06-01,16574.1
2020-07-01,16774.5
2020-08-01,16898.8
2020-09-01,17171.2
2020-10-01,17369.1
2020-11-01,17619.5
2020-12-01,17812.8
2021-01-01,18075.7
2021-02-01,18338.3
2021-03-01,18615.0
2021-04-01,18968.6
2021-05-01,19291.1
2021-06-01,19352.3
2021-07-01,19492.2
2021-08-01,19718.9
2021-09-01,19861.0
2021-10-01,20055.0
2021-11-01,20244.0
2021-12-01,20434.1
2022-01-01,20496.3
2022-02-01,20574.3
2022-03-01,20684.2
2022-04-01,20701.7
2022-05-01,20674.9
2022-06-01,20600.7
2022-07-01,20536.7
2022-08-01,20456.1
2022-09-01,20270.9
2022-10-01,20111.7
2022-11-01,19954.8
2022-12-01,19756.4
2023-01-01,19548.1
2023-02-01,19356.2
2023-03-01,18964.3
2023-04-01,18646.0
2023-05-01,18595.8
2023-06-01,18485.8
2023-07-01,18381.4
2023-08-01,18270.9
2023-09-01,18150.4
2023-10-01,18071.5
2023-11-01,18014.7
2023-12-01,18022.0
2024-01-01,17987.0
2024-02-01,17944.1
