DATE,WM2NS
2019-11-04,15219.6
2019-11-11,15222.3
2019-11-18,15281.7
2019-11-25,15231.3
2019-12-02,15326.6
2019-12-09,15336.8
2019-12-16,15427.8
2019-12-23,15440.9
2019-12-30,15452.4
2020-01-06,15484.9
2020-01-13,15452.8
2020-01-20,15406.7
2020-01-27,15294.0
2020-02-03,15358.3
2020-02-10,15361.7
2020-02-17,15392.9
2020-02-24,15328.1
2020-03-02,15488.6
2020-03-09,15624.4
2020-03-16,15818.1
2020-03-23,16193.0
2020-03-30,16614.3
2020-04-06,16773.1
2020-04-13,16919.6
2020-04-20,17180.3
2020-04-27,17318.7
2020-05-04,17536.3
2020-05-11,17673.8
2020-05-18,17805.4
2020-05-25,17780.1
2020-06-01,17910.9
2020-06-08,18022.7
2020-06-15,18110.7
2020-06-22,18101.2
2020-06-29,18155.5
2020-07-06,18338.6
2020-07-13,18341.8
2020-07-20,18240.3
2020-07-27,18108.3
2020-08-03,18220.4
2020-08-10,18286.9
2020-08-17,18356.5
2020-08-24,18257.4
2020-08-31,18376.9
2020-09-07,18512.7
2020-09-14,18596.7
2020-09-21,18550.0
2020-09-28,18488.3
2020-10-05,18632.7
2020-10-12,18646.0
2020-10-19,18702.3
2020-10-26,18640.9
2020-11-02,18829.5
2020-11-09,18910.0
2020-11-16,18993.5
2020-11-23,18969.1
2020-11-30,19049.9
2020-12-07,19156.4
2020-12-14,19206.5
2020-12-21,19260.6
2020-12-28,19292.9
2021-01-04,19364.6
2021-01-11,19424.5
2021-01-18,19397.0
2021-01-25,19279.7
2021-02-01,19385.4
2021-02-08,19419.3
2021-02-15,19527.5
2021-02-22,19540.1
2021-03-01,19626.5
2021-03-08,19719.1
2021-03-15,19857.8
2021-03-22,20036.9
2021-03-29,20112.1
2021-04-05,20315.8
2021-04-12,20304.9
2021-04-19,20298.3
2021-04-26,20144.8
2021-05-03,20268.6
2021-05-10,20347.8
2021-05-17,20405.5
2021-05-24,20228.5
2021-05-31,20274.7
2021-06-07,20418.3
2021-06-14,20503.2
2021-06-21,20409.5
2021-06-28,20362.2
2021-07-05,20538.7
2021-07-12,20534.1
2021-07-19,20563.9
2021-07-26,20516.4
2021-08-02,20643.2
2021-08-09,20700.7
2021-08-16,20771.1
2021-08-23,20746.4
2021-08-30,20778.2
2021-09-06,20919.8
2021-09-13,20964.1
2021-09-20,20920.6
2021-09-27,20830.3
2021-10-04,21035.1
2021-10-11,21060.0
2021-10-18,21135.7
2021-10-25,21024.0
2021-11-01,21167.4
2021-11-08,21249.2
2021-11-15,21314.8
2021-11-22,21344.1
2021-11-29,21371.7
2021-12-06,21514.2
2021-12-13,21568.8
2021-12-20,21695.0
2021-12-27,21738.9
2022-01-03,21715.2
2022-01-10,21730.6
2022-01-17,21704.2
2022-01-24,21519.8
2022-01-31,21508.6
2022-02-07,21546.1
2022-02-14,21558.6
2022-02-21,21562.8
2022-02-28,21647.7
2022-03-07,21801.1
2022-03-14,21851.7
2022-03-21,21854.1
2022-03-28,21840.7
2022-04-04,21986.2
2022-04-11,21972.2
2022-04-18,22045.4
2022-04-25,21598.2
2022-05-02,21605.0
2022-05-09,21541.4
2022-05-16,21572.9
2022-05-23,21528.3
2022-05-30,21514.5
2022-06-06,21614.2
2022-06-13,21588.5
2022-06-20,21545.7
2022-06-27,21520.1
2022-07-04,21619.3
2022-07-11,21586.4
2022-07-18,21564.2
2022-07-25,21517.2
2022-08-01,21587.6
2022-08-08,21574.7
2022-08-15,21590.8
2022-08-22,21535.7
2022-08-29,21469.8
2022-09-05,21533.9
2022-09-12,21534.1
2022-09-19,21482.7
2022-09-26,21353.9
2022-10-03,21428.9
2022-10-10,21387.0
2022-10-17,21440.7
2022-10-24,21304.7
2022-10-31,21360.4
2022-11-07,21388.5
2022-11-14,21397.0
2022-11-21,21401.4
2022-11-28,21361.6
2022-12-05,21430.6
2022-12-12,21426.7
2022-12-19,21440.8
2022-12-26,21415.8
2023-01-02,21383.7
2023-01-09,21436.2
2023-01-16,21347.1
2023-01-23,21200.3
2023-01-30,21108.1
2023-02-06,21177.4
2023-02-13,21110.5
2023-02-20,21103.3
2023-02-27,21102.0
2023-03-06,21147.1
2023-03-13,21142.5
2023-03-20,21005.5
2023-03-27,20882.2
2023-04-03,20936.9
2023-04-10,21034.6
2023-04-17,20955.5
2023-04-24,20674.7
2023-05-01,20637.2
2023-05-08,20700.4
2023-05-15,20694.8
2023-05-22,20683.4
2023-05-29,20738.8
2023-06-05,20844.6
2023-06-12,20769.6
2023-06-19,20737.5
2023-06-26,20664.6
2023-07-03,20761.6
2023-07-10,20773.3
2023-07-17,20762.5
2023-07-24,20650.3
2023-07-31,20693.9
2023-08-07,20747.0
2023-08-14,20724.6
2023-08-21,20663.5
2023-08-28,20635.3
2023-09-04,20719.1
2023-09-11,20714.1
2023-09-18,20683.3
2023-09-25,20577.9
2023-10-02,20672.8
2023-10-09,20671.2
2023-10-16,20725.8
2023-10-23,20566.0
2023-10-30,20564.9
2023-11-06,20682.4
2023-11-13,20684.5
2023-11-20,20738.7
2023-11-27,20731.9
2023-12-04,20834.6
2023-12-11,20831.6
2023-12-18,20907.0
2023-12-25,20936.4
2024-01-01,20921.7
2024-01-08,20948.5
2024-01-15,20934.0
2024-01-22,20804.2
2024-01-29,20750.6
2024-02-05,20877.2
2024-02-12,20746.2
2024-02-19,20756.5
2024-02-26,20744.3
2024-03-04,20908.9
