day,ETH Vault_collateral_usd,stETH Vault_collateral_usd,BTC Vault_collateral_usd,Altcoin Vault_collateral_usd,Stablecoin Vault_collateral_usd,LP Vault_collateral_usd,PSM Vault_collateral_usd,ETH Vault_dai_ceiling,stETH Vault_dai_ceiling,BTC Vault_dai_ceiling,Altcoin Vault_dai_ceiling,Stablecoin Vault_dai_ceiling,LP Vault_dai_ceiling,PSM Vault_dai_ceiling
2021-11-19 00:00:00+00:00,11530810569.935148,39769944.7545022,2866222769.0995874,520045444.9051905,336521697.42675465,412562137.8664404,2132251251.2094064,4215499587.098719,16779001.87836816,1398087189.0492508,170858309.36176428,5000000.0,352901603.86000824,3593103707.3178506
2021-11-20 00:00:00+00:00,11943278353.687624,41280230.12683999,2948959833.3739862,508972390.7012909,336521697.42675465,430562322.9724786,2164546578.2728944,4185875620.4857793,17284635.75811815,1393749077.7165093,171141983.01781872,5000000.0,372841835.6892891,3604384386.933357
2021-11-21 00:00:00+00:00,11839472041.02766,48477796.29037015,2951818107.21472,505016705.0497073,336521697.42675465,431500082.06578285,2195743029.101425,4185229052.827561,19140998.341837127,1407300021.863137,171131567.4922314,5000000.0,378293238.31256723,3604384386.933357
2021-11-22 00:00:00+00:00,10933452742.149605,59724075.18164989,2788017226.137742,509504043.07336783,336503182.74675465,433806450.38492364,2215601174.207964,4167338922.838719,22170168.944887094,1437967464.6363096,159239990.91266096,5000000.0,378299770.8194982,3674297040.97279
2021-11-23 00:00:00+00:00,11600116135.99997,74570808.78308003,2821788807.2132587,500427709.7462018,336503182.74675465,432619037.81608635,2258244677.180629,4152215276.9224415,23065851.7244558,1435093757.4754848,158801066.38276848,5000000.0,378879291.1434952,3670722718.344529
2021-11-24 00:00:00+00:00,11467038303.718426,70453344.31442548,2787345812.3489223,516441275.7532374,336503182.74675465,429735429.9725152,2271551872.591127,4160651576.870595,28972139.268417783,1434840348.3533072,158325583.9239403,5000000.0,378135702.38632417,3676081087.978617
2021-11-25 00:00:00+00:00,12128983667.98884,75577634.18472996,2904430919.8959,525226215.9038877,336503182.74675465,443359003.5901696,2324739408.338472,4171123577.358643,26828959.005586054,1432964903.143885,158312217.7989819,5000000.0,384866138.9784858,3721642193.180281
2021-11-26 00:00:00+00:00,11107250867.305788,74385555.25784774,2656851773.9548635,476972958.6614189,336503182.74675465,345025326.27672935,2352241797.589325,4169253905.0802464,28198058.525429744,1408979419.7760673,156082795.30161083,5000000.0,319475399.8763665,3773536963.622735
2021-11-27 00:00:00+00:00,10997444135.108473,74763582.23623256,2928529774.8008056,487010576.48351145,336503182.74675465,329159081.4835071,2352250413.686741,4170388662.444298,28279717.882381342,1413892463.6388102,156279264.350694,5000000.0,282382901.28993493,3797624897.601913
2021-11-28 00:00:00+00:00,11460764114.872704,77021365.8677153,2987717759.364866,474128679.55117136,336503182.7467547,321178692.6859068,2377067294.05,4169263644.6996207,28582968.840474945,1405343148.1545575,155876016.23097855,5000000.0,282133351.7024121,3797624897.601913
2021-11-29 00:00:00+00:00,11951767376.141987,81648112.25094892,3102025939.743505,495884220.34335846,336503182.7467547,331320610.90304637,2412343822.9566646,4174795822.538897,30291994.82872772,1502643265.5080504,156260489.4683348,5000000.0,283268786.7848303,3836910383.600156
