dt,annual_revenues,asset,blended_rate,collateral,revenues,total_annual_revenues,total_asset,total_blended_rate
2024-03-21 00:00:00+00:00,1930000.0,772000000.0,0.0025,Coinbase,,240716327.65482977,4692077547.488323,0.051302717233155194
2024-03-21 00:00:00+00:00,155559844.17409983,1002509890.9783561,0.15517038342862427,ETH,250862.2603109032,240716327.65482977,4692077547.488323,0.051302717233155194
2024-03-21 00:00:00+00:00,,1022233852.6060944,,Lending Protocols,0.0,240716327.65482977,4692077547.488323,0.051302717233155194
2024-03-21 00:00:00+00:00,47213.18911781885,93864104.50958975,0.0005029951477670066,Liquidity Pools,,240716327.65482977,4692077547.488323,0.051302717233155194
2024-03-21 00:00:00+00:00,-1e-18,1e-18,-1.0,Others,,240716327.65482977,4692077547.488323,0.051302717233155194
2024-03-21 00:00:00+00:00,11573599.406172905,265832753.7095236,0.043537145986229445,RWA,,240716327.65482977,4692077547.488323,0.051302717233155194
2024-03-21 00:00:00+00:00,0.0,510492745.8788653,0.0,Stablecoins,,240716327.65482977,4692077547.488323,0.051302717233155194
2024-03-21 00:00:00+00:00,36804301.060744666,817873356.905437,0.045,TBills,,240716327.65482977,4692077547.488323,0.051302717233155194
2024-03-21 00:00:00+00:00,34801369.824694544,207270842.90045765,0.16790287209575344,WBTC,49574.04218241314,240716327.65482977,4692077547.488323,0.051302717233155194
2024-03-20 00:00:00+00:00,1930000.0,772000000.0,0.0025,Coinbase,,251033567.81689462,4665516334.765017,0.0538061705938788
2024-03-20 00:00:00+00:00,166015366.34631842,1066742113.5999665,0.1556283981196368,ETH,512483.60147056985,251033567.81689462,4665516334.765017,0.0538061705938788
2024-03-20 00:00:00+00:00,,991368438.7908834,,Lending Protocols,0.0,251033567.81689462,4665516334.765017,0.0538061705938788
2024-03-20 00:00:00+00:00,47213.18911781885,93864104.50958973,0.0005029951477670068,Liquidity Pools,,251033567.81689462,4665516334.765017,0.0538061705938788
2024-03-20 00:00:00+00:00,-1e-18,1e-18,-1.0,Others,,251033567.81689462,4665516334.765017,0.0538061705938788
2024-03-20 00:00:00+00:00,11573599.406172905,265832753.70952353,0.04353714598622945,RWA,51637.079564959226,251033567.81689462,4665516334.765017,0.0538061705938788
2024-03-20 00:00:00+00:00,0.0,451367053.8668763,0.0,Stablecoins,,251033567.81689462,4665516334.765017,0.0538061705938788
2024-03-20 00:00:00+00:00,36804301.060744666,817873356.905437,0.045,TBills,,251033567.81689462,4665516334.765017,0.0538061705938788
2024-03-20 00:00:00+00:00,34663087.81454082,206468513.38274056,0.16788558820242094,WBTC,94984.37724055951,251033567.81689462,4665516334.765017,0.0538061705938788
2024-03-19 00:00:00+00:00,1930000.0,772000000.0,0.0025,Coinbase,,260946494.75209093,4703718034.835947,0.05547664482001461
2024-03-19 00:00:00+00:00,175773811.62715742,1125990728.9806128,0.1561059137549825,ETH,536985.8191078448,260946494.75209093,4703718034.835947,0.05547664482001461
2024-03-19 00:00:00+00:00,,1014990214.9625667,,Lending Protocols,,260946494.75209093,4703718034.835947,0.05547664482001461
2024-03-19 00:00:00+00:00,47382.65151540926,94711410.13855365,0.0005002845110857607,Liquidity Pools,,260946494.75209093,4703718034.835947,0.05547664482001461
2024-03-19 00:00:00+00:00,-1e-18,1e-18,-1.0,Others,,260946494.75209093,4703718034.835947,0.05547664482001461
2024-03-19 00:00:00+00:00,11610559.564560857,266654090.6299586,0.04354165179739571,RWA,3240.76131791388,260946494.75209093,4703718034.835947,0.05547664482001461
2024-03-19 00:00:00+00:00,0.0,404362171.8183714,0.0,Stablecoins,,260946494.75209093,4703718034.835947,0.05547664482001461
2024-03-19 00:00:00+00:00,36804301.060744666,817873356.905437,0.045,TBills,,260946494.75209093,4703718034.835947,0.05547664482001461
2024-03-19 00:00:00+00:00,34780439.84811258,207136061.40044755,0.16791108034478364,WBTC,113890.44685170369,260946494.75209093,4703718034.835947,0.05547664482001461
2024-03-18 00:00:00+00:00,1930000.0,772000000.0,0.0025,Coinbase,,268222657.2708816,4744355701.713676,0.05653510700599424
2024-03-18 00:00:00+00:00,183148584.10471794,1171527524.8816757,0.1563331464390612,ETH,281219.951183336,268222657.2708816,4744355701.713676,0.05653510700599424
2024-03-18 00:00:00+00:00,,1014990214.9625667,,Lending Protocols,0.0,268222657.2708816,4744355701.713676,0.05653510700599424
2024-03-18 00:00:00+00:00,47382.65151540926,94711410.13855366,0.0005002845110857606,Liquidity Pools,,268222657.2708816,4744355701.713676,0.05653510700599424
2024-03-18 00:00:00+00:00,-1e-18,1e-18,-1.0,Others,,268222657.2708816,4744355701.713676,0.05653510700599424
2024-03-18 00:00:00+00:00,11621568.761680143,266811364.86292878,0.04355724789928116,RWA,24142.8687446465,268222657.2708816,4744355701.713676,0.05653510700599424
2024-03-18 00:00:00+00:00,0.0,399931319.6618574,0.0,Stablecoins,,268222657.2708816,4744355701.713676,0.05653510700599424
2024-03-18 00:00:00+00:00,36804301.060744666,817873356.905437,0.045,TBills,,268222657.2708816,4744355701.713676,0.05653510700599424
2024-03-18 00:00:00+00:00,34670820.69222345,206510510.30065775,0.1678888916682563,WBTC,72946.46469773364,268222657.2708816,4744355701.713676,0.05653510700599424
2024-03-17 00:00:00+00:00,1042500.0,417000000.0,0.0025,Coinbase,,270572165.1991444,4699947545.505954,0.0575691882897423
2024-03-17 00:00:00+00:00,186670216.8262927,1193159898.2699435,0.15645029396056684,ETH,514421.12340093876,270572165.1991444,4699947545.505954,0.0575691882897423
2024-03-17 00:00:00+00:00,,1074261387.682817,,Lending Protocols,0.0,270572165.1991444,4699947545.505954,0.0575691882897423
2024-03-17 00:00:00+00:00,47382.65151540926,94711410.13855365,0.0005002845110857607,Liquidity Pools,,270572165.1991444,4699947545.505954,0.0575691882897423
2024-03-17 00:00:00+00:00,-1e-18,1e-18,-1.0,Others,,270572165.1991444,4699947545.505954,0.0575691882897423
2024-03-17 00:00:00+00:00,11491332.501269614,264950846.99418408,0.04337156356220994,RWA,,270572165.1991444,4699947545.505954,0.0575691882897423
2024-03-17 00:00:00+00:00,0.0,632391001.1862255,0.0,Stablecoins,,270572165.1991444,4699947545.505954,0.0575691882897423
2024-03-17 00:00:00+00:00,36804301.060744666,817873356.905437,0.045,TBills,,270572165.1991444,4699947545.505954,0.0575691882897423
2024-03-17 00:00:00+00:00,34516432.15932203,205599644.3287933,0.16788176979588365,WBTC,87001.22880206813,270572165.1991444,4699947545.505954,0.0575691882897423
2024-03-16 00:00:00+00:00,1042500.0,417000000.0,0.0025,Coinbase,,270659817.91285616,4690603920.395158,0.057702552273920106
2024-03-16 00:00:00+00:00,186843326.5224941,1194352485.6147552,0.1564390150922007,ETH,577618.4649983068,270659817.91285616,4690603920.395158,0.057702552273920106
2024-03-16 00:00:00+00:00,,1128835616.679308,,Lending Protocols,,270659817.91285616,4690603920.395158,0.057702552273920106
2024-03-16 00:00:00+00:00,47382.65151540926,94711410.13855366,0.0005002845110857606,Liquidity Pools,,270659817.91285616,4690603920.395158,0.057702552273920106
2024-03-16 00:00:00+00:00,-1e-18,1e-18,-1.0,Others,,270659817.91285616,4690603920.395158,0.057702552273920106
2024-03-16 00:00:00+00:00,11491332.501269612,264950846.9941841,0.043371563562209926,RWA,,270659817.91285616,4690603920.395158,0.057702552273920106
2024-03-16 00:00:00+00:00,0.0,567799724.9720134,0.0,Stablecoins,,270659817.91285616,4690603920.395158,0.057702552273920106
2024-03-16 00:00:00+00:00,36804301.060744666,817873356.905437,0.045,TBills,,270659817.91285616,4690603920.395158,0.057702552273920106
2024-03-16 00:00:00+00:00,34430975.17683236,205080479.09090692,0.16789006603388124,WBTC,77599.85833912394,270659817.91285616,4690603920.395158,0.057702552273920106
2024-03-15 00:00:00+00:00,1042500.0,417000000.0,0.0025,Coinbase,,271011848.50682086,4686281490.966694,0.05783089407437966
2024-03-15 00:00:00+00:00,187070259.2844064,1196111352.6893947,0.15639869888684574,ETH,361138.61039556796,271011848.50682086,4686281490.966694,0.05783089407437966
2024-03-15 00:00:00+00:00,,1128835616.679308,,Lending Protocols,0.0,271011848.50682086,4686281490.966694,0.05783089407437966
2024-03-15 00:00:00+00:00,47382.65151540926,94711410.13855365,0.0005002845110857607,Liquidity Pools,,271011848.50682086,4686281490.966694,0.05783089407437966
2024-03-15 00:00:00+00:00,-1e-18,1e-18,-1.0,Others,,271011848.50682086,4686281490.966694,0.05783089407437966
