period,balance,item,normalized
2020-07-01 00:00:00+00:00,,Others assets,
2020-07-01 00:00:00+00:00,-200158.69712388344,Equity,-0.0013822600547655428
2020-07-01 00:00:00+00:00,144805383.35301465,Crypto-Loans,1.0
2020-07-01 00:00:00+00:00,-111909502.58181052,DAI,-0.7728269487674453
2020-07-01 00:00:00+00:00,,Stablecoins,
2020-07-01 00:00:00+00:00,-32695722.074080143,DSR,-0.22579079117778852
2020-07-01 00:00:00+00:00,,Real-World Assets,
2020-07-02 00:00:00+00:00,-28829536.58023247,DSR,-0.19242129876268094
2020-07-02 00:00:00+00:00,,Others assets,
2020-07-02 00:00:00+00:00,-201848.50560913794,Equity,-0.0013472277466037375
2020-07-02 00:00:00+00:00,-120793695.43078455,DAI,-0.8062314734907146
2020-07-02 00:00:00+00:00,,Stablecoins,
2020-07-02 00:00:00+00:00,,Real-World Assets,
2020-07-02 00:00:00+00:00,149825080.51662627,Crypto-Loans,1.0
2020-07-03 00:00:00+00:00,161260645.23925993,Crypto-Loans,1.0
2020-07-03 00:00:00+00:00,-48225765.51954648,DSR,-0.2990547721546981
2020-07-03 00:00:00+00:00,,Real-World Assets,
2020-07-03 00:00:00+00:00,,Stablecoins,
2020-07-03 00:00:00+00:00,-204024.3127281006,Equity,-0.0012651835320725208
2020-07-03 00:00:00+00:00,-112830855.40698515,DAI,-0.6996800443132282
2020-07-03 00:00:00+00:00,,Others assets,
2020-07-04 00:00:00+00:00,-114652320.54240204,DAI,-0.6749557217156384
2020-07-04 00:00:00+00:00,-55007677.90405095,DSR,-0.32382900550101884
2020-07-04 00:00:00+00:00,-206434.05221897093,Equity,-0.0012152727833416093
2020-07-04 00:00:00+00:00,169866432.49867216,Crypto-Loans,1.0
2020-07-04 00:00:00+00:00,,Real-World Assets,
2020-07-04 00:00:00+00:00,,Others assets,
2020-07-04 00:00:00+00:00,,Stablecoins,
2020-07-05 00:00:00+00:00,,Stablecoins,
2020-07-05 00:00:00+00:00,-116283121.58154054,DAI,-0.6709461051178994
2020-07-05 00:00:00+00:00,,Others assets,
2020-07-05 00:00:00+00:00,173312164.26259324,Crypto-Loans,1.0
2020-07-05 00:00:00+00:00,-209435.44609176816,Equity,-0.0012084290042933333
2020-07-05 00:00:00+00:00,,Real-World Assets,
2020-07-05 00:00:00+00:00,-56819607.23496075,DSR,-0.32784546587780616
2020-07-06 00:00:00+00:00,178111591.02162743,Crypto-Loans,1.0
2020-07-06 00:00:00+00:00,,Stablecoins,
2020-07-06 00:00:00+00:00,-118650075.01149027,DAI,-0.6661558314701879
2020-07-06 00:00:00+00:00,,Others assets,
2020-07-06 00:00:00+00:00,,Real-World Assets,
2020-07-06 00:00:00+00:00,-59248911.87179489,DSR,-0.33265051158068937
2020-07-06 00:00:00+00:00,-212604.13834209257,Equity,-0.001193656949121727
2020-07-07 00:00:00+00:00,183688735.2775457,Crypto-Loans,1.0
2020-07-07 00:00:00+00:00,-116899363.12224253,DAI,-0.6363991942435265
2020-07-07 00:00:00+00:00,,Stablecoins,
2020-07-07 00:00:00+00:00,,Real-World Assets,
2020-07-07 00:00:00+00:00,-66573376.51352488,DSR,-0.3624249272168781
2020-07-07 00:00:00+00:00,,Others assets,
2020-07-07 00:00:00+00:00,-215995.64177811026,Equity,-0.0011758785395944407
2020-07-08 00:00:00+00:00,184743554.4144293,Crypto-Loans,1.0
2020-07-08 00:00:00+00:00,,Real-World Assets,
2020-07-08 00:00:00+00:00,,Stablecoins,
2020-07-08 00:00:00+00:00,-111960203.01642083,DAI,-0.6060303612285389
2020-07-08 00:00:00+00:00,-219474.73521665088,Equity,-0.0011879967120493429
2020-07-08 00:00:00+00:00,-72563876.66279167,DSR,-0.3927816420594109
2020-07-08 00:00:00+00:00,,Others assets,
2020-07-09 00:00:00+00:00,-111546828.23939234,DAI,-0.6023281057172359
2020-07-09 00:00:00+00:00,185192799.70600975,Crypto-Loans,1.0
2020-07-09 00:00:00+00:00,-222870.76703978752,Equity,-0.0012034526579520956
2020-07-09 00:00:00+00:00,-73423100.69957748,DSR,-0.3964684416248112
