period,collateral,daily_revenues
2024-03-27,ETH-A,21754.48305087809
2024-03-27,ETH-B,56751.5303704862
2024-03-27,ETH-C,103498.46467189828
2024-03-27,WBTC-A,11273.696277309893
2024-03-27,WBTC-B,25135.467763246284
2024-03-27,WBTC-C,7974.498552167171
2024-03-27,WSTETH-A,100022.64752777453
2024-03-27,WSTETH-B,25717.048002933978
2024-03-26,ETH-A,124987.8437512391
2024-03-26,ETH-B,44897.298090574084
2024-03-26,ETH-C,111015.29955336092
2024-03-26,RWA002-A,1768.8116758736787
2024-03-26,RWA013-A,407222.6671603174
2024-03-26,WBTC-A,84107.12690496331
2024-03-26,WBTC-B,18307.721800145446
2024-03-26,WBTC-C,24419.817886222405
2024-03-26,WSTETH-A,69676.31448803397
2024-03-26,WSTETH-B,42816.49576855201
2024-03-25,ETH-A,112225.6645135114
2024-03-25,ETH-B,60411.55582163374
2024-03-25,ETH-C,88828.0700677406
2024-03-25,RWA002-A,8221.50355636325
2024-03-25,WBTC-A,73350.30985337816
2024-03-25,WBTC-B,80108.9660123448
2024-03-25,WBTC-C,63782.4643889858
2024-03-25,WSTETH-A,167415.6425687605
2024-03-25,WSTETH-B,40828.36272696399
2024-03-24,ETH-A,113608.39210936846
2024-03-24,ETH-B,116195.29806295372
2024-03-24,ETH-C,144815.85374346908
2024-03-24,WBTC-A,120062.23292037836
2024-03-24,WSTETH-A,61612.84807454531
2024-03-24,WSTETH-B,54036.4679980741
2024-03-23,ETH-A,114488.4689639985
2024-03-23,ETH-C,83900.5601965938
2024-03-23,WBTC-C,23494.843537172204
2024-03-23,WSTETH-A,159309.9289517226
2024-03-23,WSTETH-B,11181.704123618536
2024-03-22,DIRECT-SPARK-DAI,0.0
2024-03-22,ETH-A,133990.74808023914
2024-03-22,ETH-B,65154.31186466345
2024-03-22,ETH-C,175584.73705067046
2024-03-22,RWA002-A,8202.138989012617
2024-03-22,RWA014-A,0.0
2024-03-22,WBTC-A,63736.61563159191
2024-03-22,WBTC-B,8275.821342321195
2024-03-22,WBTC-C,15727.597500151052
2024-03-22,WSTETH-A,151337.2137482417
2024-03-22,WSTETH-B,31610.039448710577
2024-03-21,DIRECT-SPARK-DAI,0.0
2024-03-21,ETH-A,115267.10984338568
2024-03-21,ETH-B,51728.42350979698
2024-03-21,ETH-C,63850.970849630576
2024-03-21,WBTC-A,78576.80579631176
2024-03-21,WBTC-B,22440.10727821434
2024-03-21,WBTC-C,29555.936111077237
2024-03-21,WSTETH-A,82963.6289241273
2024-03-21,WSTETH-B,49638.93710154051
2024-03-20,DIRECT-SPARK-DAI,0.0
2024-03-20,ETH-A,136276.3854653195
2024-03-20,ETH-B,57454.35420607143
2024-03-20,ETH-C,136844.25440628774
