,dt,maturity,outflow,outflow_dai_only,outflow_surplus_buffer,total_period
0,2024-03-20 00:00:00+00:00,1-week,589090233.0106062,589090233.0106062,0.0,4661750574.179925
1,2024-03-20 00:00:00+00:00,1-month,135641898.56846723,135641898.56846723,0.0,4661750574.179925
2,2024-03-20 00:00:00+00:00,1-block,451479837.8919082,451479837.8919082,0.0,4661750574.179925
3,2024-03-20 00:00:00+00:00,1-year,2833931375.4865103,2766819019.0065217,67112356.47998834,4661750574.179925
4,2024-03-20 00:00:00+00:00,1-day,451479837.8919082,451479837.8919082,0.0,4661750574.179925
5,2024-03-20 00:00:00+00:00,3-months,200127391.33052543,200127391.33052543,0.0,4661750574.179925
6,2024-03-19 00:00:00+00:00,1-day,455524838.3187331,455524838.3187331,0.0,4699952274.25086
7,2024-03-19 00:00:00+00:00,1-week,595167015.9684596,595167015.9684596,0.0,4699952274.25086
8,2024-03-19 00:00:00+00:00,1-year,2854314452.3274903,2787586179.2552867,66728273.07220362,4699952274.25086
9,2024-03-19 00:00:00+00:00,3-months,202303984.3613906,202303984.3613906,0.0,4699952274.25086
10,2024-03-19 00:00:00+00:00,1-month,137117144.9560536,137117144.9560536,0.0,4699952274.25086
11,2024-03-19 00:00:00+00:00,1-block,455524838.3187331,455524838.3187331,0.0,4699952274.25086
12,2024-03-18 00:00:00+00:00,1-month,140439203.6295909,140439203.6295909,0.0,4740589941.12859
13,2024-03-18 00:00:00+00:00,3-months,207205382.40431443,207205382.40431443,0.0,4740589941.12859
14,2024-03-18 00:00:00+00:00,1-day,461095932.808807,461095932.808807,0.0,4740589941.12859
15,2024-03-18 00:00:00+00:00,1-year,2863252281.529285,2796227598.0314217,67024683.497863285,4740589941.12859
16,2024-03-18 00:00:00+00:00,1-block,461095932.808807,461095932.808807,0.0,4740589941.12859
17,2024-03-18 00:00:00+00:00,1-week,607501207.9477851,607501207.9477851,0.0,4740589941.12859
18,2024-03-17 00:00:00+00:00,1-day,455307007.6964398,455307007.6964398,0.0,4696181784.920865
19,2024-03-17 00:00:00+00:00,1-block,455307007.6964398,455307007.6964398,0.0,4696181784.920865
20,2024-03-17 00:00:00+00:00,1-week,596032698.7334653,596032698.7334653,0.0,4696181784.920865
21,2024-03-17 00:00:00+00:00,1-month,137425908.6559977,137425908.6559977,0.0,4696181784.920865
22,2024-03-17 00:00:00+00:00,3-months,202759537.36130807,202759537.36130807,0.0,4696181784.920865
23,2024-03-17 00:00:00+00:00,1-year,2849349624.7772145,2780461988.110649,68887636.66656503,4696181784.920865
24,2024-03-16 00:00:00+00:00,1-week,591913771.8221872,591913771.8221872,0.0,4686838159.810073
25,2024-03-16 00:00:00+00:00,1-block,453757132.16553545,453757132.16553545,0.0,4686838159.810073
26,2024-03-16 00:00:00+00:00,1-year,2850066310.398458,2781519501.852893,68546808.54556546,4686838159.810073
27,2024-03-16 00:00:00+00:00,3-months,201065848.96193403,201065848.96193403,0.0,4686838159.810073
28,2024-03-16 00:00:00+00:00,1-day,453757132.16553545,453757132.16553545,0.0,4686838159.810073
29,2024-03-16 00:00:00+00:00,1-month,136277964.29642195,136277964.29642195,0.0,4686838159.810073
30,2024-03-15 00:00:00+00:00,1-month,136796103.31345734,136796103.31345734,0.0,4682479857.627611
31,2024-03-15 00:00:00+00:00,1-week,593526596.3622345,593526596.3622345,0.0,4682479857.627611
32,2024-03-15 00:00:00+00:00,3-months,201830316.36411735,201830316.36411735,0.0,4682479857.627611
33,2024-03-15 00:00:00+00:00,1-day,453811200.07450855,453811200.07450855,0.0,4682479857.627611
34,2024-03-15 00:00:00+00:00,1-block,453811200.07450855,453811200.07450855,0.0,4682479857.627611
35,2024-03-15 00:00:00+00:00,1-year,2842704441.438785,2774086199.8866663,68618241.55211864,4682479857.627611
36,2024-03-14 00:00:00+00:00,1-month,133436239.00881484,133436239.00881484,0.0,4593111192.840357
37,2024-03-14 00:00:00+00:00,1-year,2794052517.059129,2726178544.280889,67873972.77824041,4593111192.840357
38,2024-03-14 00:00:00+00:00,1-day,444542077.8133353,444542077.8133353,0.0,4593111192.840357
39,2024-03-14 00:00:00+00:00,1-week,579665141.6245399,579665141.6245399,0.0,4593111192.840357
40,2024-03-14 00:00:00+00:00,3-months,196873139.52120224,196873139.52120224,0.0,4593111192.840357
41,2024-03-14 00:00:00+00:00,1-block,444542077.8133353,444542077.8133353,0.0,4593111192.840357
42,2024-03-13 00:00:00+00:00,1-month,132761435.51295461,132761435.51295461,0.0,4588633810.773448
43,2024-03-13 00:00:00+00:00,3-months,195877527.8059986,195877527.8059986,0.0,4588633810.773448
44,2024-03-13 00:00:00+00:00,1-year,2795373541.1412153,2727322407.4588366,68051133.68237895,4588633810.773448
45,2024-03-13 00:00:00+00:00,1-day,443679464.3375427,443679464.3375427,0.0,4588633810.773448
46,2024-03-13 00:00:00+00:00,1-block,443679464.3375427,443679464.3375427,0.0,4588633810.773448
47,2024-03-13 00:00:00+00:00,1-week,577262377.6381934,577262377.6381934,0.0,4588633810.773448
