,delta_30d,delta_90d,period,surplus_buffer
0,-118286288.52742797,-23073880.396787293,2024-03-27 00:00:00+00:00,42679254.9738348
1,-117968788.92971408,-22860798.29552078,2024-03-26 00:00:00+00:00,42972541.236008584
2,-114559431.39742303,-21963371.45807297,2024-03-25 00:00:00+00:00,43449261.65617004
3,-110361924.9423794,-20375056.074076954,2024-03-24 00:00:00+00:00,44097497.34993989
4,-105856419.39971425,-19278637.619487304,2024-03-23 00:00:00+00:00,44733525.244465984
5,45010986.99228659,-17822294.871278122,2024-03-22 00:00:00+00:00,45406565.796739265
6,47559437.44195482,-17572279.704007298,2024-03-21 00:00:00+00:00,45834414.38140573
7,51504705.42679013,-16139020.6070623,2024-03-20 00:00:00+00:00,46487696.41045833
8,73127257.81588313,-17174721.664539717,2024-03-19 00:00:00+00:00,46776242.413090415
9,73550724.37995297,-15211045.278515577,2024-03-18 00:00:00+00:00,47072652.83875007
10,100027697.179573,-6098969.917751185,2024-03-17 00:00:00+00:00,49562348.55174702
11,99589560.39767858,-5631404.193345452,2024-03-16 00:00:00+00:00,49924678.77984653
12,98599204.98930976,-6277915.942239617,2024-03-15 00:00:00+00:00,50096004.2925987
13,101180788.17321946,4195113.745403955,2024-03-14 00:00:00+00:00,50424578.507642895
14,97995080.64777556,3259580.4696717695,2024-03-13 00:00:00+00:00,50601739.41178143
15,99059016.72984567,2606884.712318894,2024-03-12 00:00:00+00:00,50903338.89355189
16,108267753.31610379,2794583.638628639,2024-03-11 00:00:00+00:00,51302389.827493995
17,104709112.41757007,2333560.0675339885,2024-03-10 00:00:00+00:00,51461455.416924074
18,123238309.94576249,3341080.5078887944,2024-03-09 00:00:00+00:00,51702754.132272355
19,124152653.78782706,3258284.416823547,2024-03-08 00:00:00+00:00,52038092.664417006
20,109670146.37737115,-2329925.9028383303,2024-03-07 00:00:00+00:00,51024738.38082682
21,106519457.67100485,-2849750.302644805,2024-03-06 00:00:00+00:00,51277038.3192205
22,90484610.50627232,-9516664.510705288,2024-03-05 00:00:00+00:00,50247666.60832488
23,90543321.97594637,-9808020.454292553,2024-03-04 00:00:00+00:00,50556690.43931321
24,111660538.30570626,-3492555.4454679876,2024-03-03 00:00:00+00:00,50888838.89314047
25,108971437.4620923,-5929197.664941079,2024-03-02 00:00:00+00:00,51321087.274885036
26,111452701.61719611,-4889495.251710557,2024-03-01 00:00:00+00:00,52127553.44634744
27,111920396.5363275,-5713109.071245496,2024-02-29 00:00:00+00:00,52460602.117572665
28,113054666.49041022,-7267920.223623593,2024-02-28 00:00:00+00:00,52746089.11351767
29,102109779.24811177,-1828623.7719701694,2024-02-27 00:00:00+00:00,52044707.02579246
30,103339711.70800014,-2302232.6528694825,2024-02-26 00:00:00+00:00,52401415.67471929
31,102027740.30096379,-4277225.008055492,2024-02-25 00:00:00+00:00,52668606.07954673
32,101720022.1419553,-5638940.083920009,2024-02-24 00:00:00+00:00,52865105.33267056
33,100221947.87200116,-6611132.119237311,2024-02-23 00:00:00+00:00,53168340.49588888
34,98959112.34813575,-8128829.340708336,2024-02-22 00:00:00+00:00,53434052.86636031
35,-46156870.21064223,-57848632.86125062,2024-02-21 00:00:00+00:00,41707032.61929105
36,-47698578.681077905,-59252263.61270552,2024-02-20 00:00:00+00:00,41925419.52316287
37,-47521170.44148573,-60110270.25879212,2024-02-19 00:00:00+00:00,42254432.95072215
38,-41445741.51483944,-77613982.03065293,2024-02-18 00:00:00+00:00,40765782.86657947
39,-42710540.46596998,-78737337.41363047,2024-02-17 00:00:00+00:00,41027387.82121969
40,-40019867.98840383,-79420010.91127186,2024-02-16 00:00:00+00:00,41340893.98904239
