,dsr_balance,dsr_rate,dt,non_dsr_balance,total_balance
0,1397531998.1647382,0.15000000408865777,2024-03-20T00:00:00Z,3199702554.6457787,4597234552.810549
1,1399485314.9602666,0.15000000408865777,2024-03-19T00:00:00Z,3233738686.218289,4633224001.178588
2,1440743920.8418806,0.15000000408865777,2024-03-18T00:00:00Z,3232821336.7887425,4673565257.630655
3,1405341920.905117,0.15000000408865777,2024-03-17T00:00:00Z,3221952227.3490868,4627294148.254236
4,1362199521.7071016,0.15000000408865777,2024-03-16T00:00:00Z,3256091829.5573025,4618291351.264436
5,1344551141.7939942,0.15000000408865777,2024-03-15T00:00:00Z,3269310474.2813973,4613861616.075424
6,1335394397.292539,0.15000000408865777,2024-03-14T00:00:00Z,3189842822.7694764,4525237220.062048
7,1307354707.97207,0.15000000408865777,2024-03-13T00:00:00Z,3213227969.118901,4520582677.091003
8,1307756928.6076977,0.15000000408865777,2024-03-12T00:00:00Z,3195499245.584106,4503256174.191836
9,1280371139.7825227,0.15000000408865777,2024-03-11T00:00:00Z,3227297009.9081645,4507668149.69072
10,1242841576.5105033,0.15000000408865777,2024-03-10T00:00:00Z,3268167079.065123,4511008655.575659
11,1148119501.9771593,0.05000000082842315,2024-03-09T00:00:00Z,3189518934.2044067,4337638436.181599
12,1154512078.5373757,0.05000000082842315,2024-03-08T00:00:00Z,3182053005.074499,4336565083.611907
13,1160033043.156272,0.05000000082842315,2024-03-07T00:00:00Z,3227819874.1902804,4387852917.346585
14,1361016691.0222552,0.05000000082842315,2024-03-06T00:00:00Z,3394835439.554074,4755852130.576362
15,1494824645.809434,0.05000000082842315,2024-03-05T00:00:00Z,3209432457.358511,4704257103.167977
16,1517187402.0664434,0.05000000082842315,2024-03-04T00:00:00Z,3388027333.720255,4905214735.786731
17,1509378306.8209143,0.05000000082842315,2024-03-03T00:00:00Z,3421947818.0440764,4931326124.865023
18,1517219664.4912357,0.05000000082842315,2024-03-02T00:00:00Z,3405616080.123738,4922835744.615006
19,1481714930.5196266,0.05000000082842315,2024-03-01T00:00:00Z,3464210906.8304935,4945925837.350153
20,1299397910.3518631,0.05000000082842315,2024-02-29T00:00:00Z,3626365452.1351748,4925763362.487071
21,1322436828.0513062,0.05000000082842315,2024-02-28T00:00:00Z,3599697781.1882453,4922134609.239584
22,1219798661.7410214,0.05000000082842315,2024-02-27T00:00:00Z,3684239781.808948,4904038443.550002
23,1179362938.2828484,0.05000000082842315,2024-02-26T00:00:00Z,3714261356.723662,4893624295.006543
24,1175846917.6770856,0.05000000082842315,2024-02-25T00:00:00Z,3697317390.41311,4873164308.090228
25,1173190144.2868247,0.05000000082842315,2024-02-24T00:00:00Z,3695294901.404919,4868485045.691776
26,1177139115.2037685,0.05000000082842315,2024-02-23T00:00:00Z,3677052235.8010006,4854191351.004802
27,1177569264.4226236,0.05000000082842315,2024-02-22T00:00:00Z,3657469883.39216,4835039147.814816
28,1175506321.4990985,0.05000000082842315,2024-02-21T00:00:00Z,3684400434.796484,4859906756.295616
29,1168592366.8719685,0.05000000082842315,2024-02-20T00:00:00Z,3689410765.9597254,4858003132.831727
30,1188071747.8780875,0.05000000082842315,2024-02-19T00:00:00Z,3709325995.2956233,4897397743.173744
