,balance,inflow,interest,outflow,period
0,1515571821.1663222,5288164.42810996,146319.97210067135,,2024-03-27 00:00:00.000
1,1510137336.7661116,24182507.401074924,570070.2110140139,,2024-03-26 00:00:00.000
2,1485384759.1540227,,591988.6721426396,79508005.51819451,2024-03-25 00:00:00.000
3,1564300776.0000746,32601790.653335113,589190.3442435041,,2024-03-24 00:00:00.000
4,1531109795.002496,42441802.18839638,577016.2422277895,,2024-03-23 00:00:00.000
5,1488090976.5718718,80719471.60046646,542875.9017066073,,2024-03-22 00:00:00.000
6,1406828629.0696986,33243851.879291773,539747.3478881299,,2024-03-21 00:00:00.000
7,1373045029.8425186,,530351.5382698342,26970636.65601923,2024-03-20 00:00:00.000
8,1399485314.960268,,546961.7802369753,41805567.661850974,2024-03-19 00:00:00.000
9,1440743920.841882,34866141.74102268,535858.1957407603,,2024-03-18 00:00:00.000
10,1405341920.9051185,42604295.53034182,538103.667673742,,2024-03-17 00:00:00.000
11,1362199521.707103,17121638.761806175,526741.1513010229,,2024-03-16 00:00:00.000
12,1344551141.7939959,8642016.333824262,514728.16763110337,,2024-03-15 00:00:00.000
13,1335394397.2925406,27536825.91931156,502863.4011573893,,2024-03-14 00:00:00.000
14,1307354707.9720716,,497543.05402979435,899763.6896577254,2024-03-13 00:00:00.000
15,1307756928.6076996,26889911.48176738,495877.3434077541,,2024-03-12 00:00:00.000
16,1280371139.7825246,37045162.298181094,484400.97383838106,,2024-03-11 00:00:00.000
17,1242841576.5105052,94510033.65180467,212040.88153945614,,2024-03-10 00:00:00.000
18,1148119501.9771612,,150741.6036568597,6543318.163873358,2024-03-09 00:00:00.000
19,1154512078.5373776,,156659.80626195873,5677624.425158285,2024-03-08 00:00:00.000
20,1160033043.1562738,,175130.14751973856,201158778.01350293,2024-03-07 00:00:00.000
21,1361016691.022257,,191937.72974137327,133999892.51692016,2024-03-06 00:00:00.000
22,1494824645.8094358,,200501.64469127843,22563257.901700847,2024-03-05 00:00:00.000
23,1517187402.0664454,7605787.59890463,203307.64662452842,,2024-03-04 00:00:00.000
24,1509378306.8209162,,202702.1907110543,8044059.861032583,2024-03-03 00:00:00.000
25,1517219664.4912376,35302112.148279175,202621.82332982187,,2024-03-02 00:00:00.000
26,1481714930.5196285,182134953.45734507,182066.71041877585,,2024-03-01 00:00:00.000
27,1299397910.3518646,,177831.47825378727,23216749.177696805,2024-02-29 00:00:00.000
28,1322436828.0513077,102465004.58947799,173161.72080684028,,2024-02-28 00:00:00.000
29,1219798661.7410228,40275333.04310058,160390.41507250108,,2024-02-27 00:00:00.000
30,1179362938.2828498,3360232.976670947,155787.62909177784,,2024-02-26 00:00:00.000
31,1175846917.677087,2499873.7775313393,156899.61272961434,,2024-02-25 00:00:00.000
32,1173190144.2868261,,157237.80145694077,4106208.7184008816,2024-02-24 00:00:00.000
33,1177139115.2037702,,159162.02365138615,589311.2425064079,2024-02-23 00:00:00.000
