,change,change_excl_rwa,change_excl_rwa_30d_avg,change_excl_rwa_7d_avg,date,fees,inflow,inflow_exl_rwa,lifetime_fees,lifetime_turnover,outflow,psm_balance,turnover
0,59125692.011989005,59125692.011989005,-39765372.79715346,15853783.282780718,2024-03-21 00:00:00+00:00,0.0,138429104.70461902,138429104.70461902,4449255.591431662,100329058375.20055,79303412.69263001,510492745.878866,217732517.397249
1,47004882.048504874,47004882.048504874,-43689564.710175924,6842814.634742717,2024-03-20 00:00:00+00:00,0.0,114637705.113514,114637705.113514,4449255.591431662,100111325857.8033,67632823.06500912,451367053.866877,182270528.1785231
2,4430852.156513989,4430852.156513989,-43887466.95749779,-60382354.14689412,2024-03-19 00:00:00+00:00,0.0,191755292.352042,191755292.352042,4449255.591431662,99929055329.62477,187324440.19552803,404362171.81837213,379079732.5475701
3,-232459681.524368,-232459681.524368,-44026058.34380932,-66040075.58503212,2024-03-18 00:00:00+00:00,0.0,144111445.810712,144111445.810712,4449255.591431662,99549975597.0772,376571127.33507997,399931319.66185814,520682573.145792
4,64591276.214212,64591276.214212,-36201438.405985385,-15168476.395455267,2024-03-17 00:00:00+00:00,0.0,85172448.88431701,85172448.88431701,4449255.591431662,99029293023.9314,20581172.670105,632391001.1862261,105753621.554422
5,6819615.503781997,6819615.503781997,-38947636.35463105,1363926.4335100204,2024-03-16 00:00:00+00:00,0.0,64526166.36572599,64526166.36572599,4449255.591431662,98923539402.37697,57706550.861944005,567799724.9720142,122232717.22766998
6,211253888.56883103,161463846.56883103,-39555163.057979114,1348940.628774592,2024-03-15 00:00:00+00:00,0.0,289427625.497276,239637583.497276,4449255.591431662,98801306685.14929,78173736.92844501,560980109.4682322,367601362.42572105
7,-3951088.5242769965,-3951088.5242769965,-46926968.00902561,-33207013.752561413,2024-03-14 00:00:00+00:00,0.0,55540369.409607,55540369.409607,4449255.591431662,98433705322.72357,59491457.93388399,349726220.8994012,115031827.34349102
8,-423571299.422953,-423571299.422953,-48762086.21686819,-53062422.326030694,2024-03-13 00:00:00+00:00,0.0,35562909.35739799,35562909.35739799,4449255.591431662,98318673495.38008,459134208.78035104,353677309.42367816,494697118.13774896
9,14816804.089548003,-35173197.910452016,-42354732.934332624,-13675153.169459837,2024-03-12 00:00:00+00:00,0.0,117174911.86886404,67184909.86886398,4449255.591431662,97823976377.24232,102358107.779316,777248608.8466312,219533019.64818007
10,123641512.80267,123641512.80267,-40861609.47284882,-46204651.8518547,2024-03-11 00:00:00+00:00,0.0,195881570.157865,195881570.157865,4449255.591431662,97604443357.59415,72240057.355195,762431804.7570832,268121627.51305997
11,180318096.01696903,180318096.01696903,-43765807.59027299,-82786976.0166804,2024-03-10 00:00:00+00:00,0.0,196491424.31974298,196491424.31974298,4449255.591431662,97336321730.08109,16173328.302774,638790291.9544132,212664752.62251702
12,6714714.870633998,6714714.870633998,-49518027.88552142,-110770235.48979399,2024-03-09 00:00:00+00:00,0.0,12695031.009993,12695031.009993,4449255.591431662,97123656977.45857,5980316.139358999,458472195.9374441,18675347.149352
13,99552169.89947899,-80427834.100521,-49921349.883032,-123827297.68318756,2024-03-08 00:00:00+00:00,0.0,207696563.41550094,27716559.415501002,4449255.591431662,97104981630.30922,108144393.516022,451757481.0668101,315840956.93152285
14,-22948946.53856203,-142938948.538562,-52485680.802469805,-112838328.49107385,2024-03-07 00:00:00+00:00,0.0,210371034.936642,90381032.93664199,4449255.591431662,96789140673.3777,233319981.475204,352205311.1673311,443691016.41184616
15,149201286.233043,-147860415.326957,-46058651.04287413,-98247302.11056128,2024-03-06 00:00:00+00:00,0.0,320195506.9308779,23133805.370877996,4449255.591431662,96345449656.96585,170994220.69783497,375154257.7058931,491189727.62871313
16,15120311.312784005,-262879688.68721604,-42580635.76216076,-81498734.977813,2024-03-05 00:00:00+00:00,0.0,310969215.748497,32969215.748497,4449255.591431662,95854259929.33714,295848904.43571305,225952971.4728501,606818120.1842102
17,25565243.648890007,-132434756.35110998,-33734981.676969096,-48540450.54151128,2024-03-04 00:00:00+00:00,0.0,170829978.2030601,12829978.20306,4449255.591431662,95247441809.15294,145264734.55417,210832660.1600661,316094712.7572301
