Cycle Day,ETH Vault_collateral_usd,stETH Vault_collateral_usd,BTC Vault_collateral_usd,Altcoin Vault_collateral_usd,Stablecoin Vault_collateral_usd,LP Vault_collateral_usd,PSM Vault_collateral_usd,Step
2022-05-20 00:00:00+00:00,4361461591.550121,314283660.68783116,1069969574.4008131,292052807.0468788,238134253.33032438,263640177.3346085,2599243703.6870575,After
2022-05-21 00:00:00+00:00,4446708658.916637,282459718.9597018,1174088394.394374,288837566.4517555,238469987.0151312,199670930.59254307,2577688708.2499237,After
2022-05-22 00:00:00+00:00,4530135811.600292,295478079.72382665,1164254165.9991713,288388506.87961197,237125384.24933073,220224611.11018223,2594132415.865692,After
2022-05-23 00:00:00+00:00,4518478581.624371,378408147.19687104,1215140343.496272,272518025.4193611,238541052.46209165,241914963.63160557,2615135337.2171326,After
2022-05-24 00:00:00+00:00,4344042943.485699,349949548.85146165,1130878946.352931,255877696.100132,236431977.3896353,257418026.85261387,2814806766.0062866,After
2022-05-25 00:00:00+00:00,4431226864.160259,319072080.6473601,1109847615.601863,267468403.77768326,237665553.93786833,259781695.69611973,2852836351.9800415,After
2022-05-26 00:00:00+00:00,4121335197.8509326,290701204.52017236,1038418167.1069288,257320183.75391006,237992978.97900602,277015277.727858,2872055516.5713043,After
2022-05-27 00:00:00+00:00,4334128639.15559,8872239.514376879,805969386.332881,284660666.70737076,214316648.43353483,31832441.31678623,3323600592.360718,After
2022-05-28 00:00:00+00:00,4340778698.321239,35421407.80156827,780745352.708888,277225114.8302345,214661214.84456846,73422031.69233555,3327565498.825943,After
2022-05-29 00:00:00+00:00,4357807046.531475,38210928.44751668,760319950.717433,276112043.2567177,213184468.7542059,37735811.756727636,3409559551.3328247,After
2022-05-30 00:00:00+00:00,4783874485.086651,83321269.68165517,840484406.7654371,281328767.9786873,211907346.4019415,49046110.996900976,3452555790.393463,After
2022-05-31 00:00:00+00:00,4705340562.571148,102987472.0811503,839634199.4833937,265189411.84766006,209038101.2983038,72716339.71357578,3452690473.4367676,After
