,balance,dt,total_balance,wallet
0,29833280.833525024,2024-03-21 00:00:00.000 UTC,4626344329.29812,CeFi
1,316083654.93737054,2024-03-21 00:00:00.000 UTC,4626344329.29812,Other
2,2312432867.945215,2024-03-21 00:00:00.000 UTC,4626344329.29812,EOA
3,346715770.42241484,2024-03-21 00:00:00.000 UTC,4626344329.29812,Bridge
4,719771.0040123017,2024-03-21 00:00:00.000 UTC,4626344329.29812,Treasury
5,1396661767.1266391,2024-03-21 00:00:00.000 UTC,4626344329.29812,Dai Savings
6,162560316.41464075,2024-03-21 00:00:00.000 UTC,4626344329.29812,Dex
7,61336900.614303075,2024-03-21 00:00:00.000 UTC,4626344329.29812,Lending
8,32384882.69923624,2024-03-20 00:00:00.000 UTC,4599813445.772169,CeFi
9,719771.0040123017,2024-03-20 00:00:00.000 UTC,4599813445.772169,Treasury
10,2317975272.3694487,2024-03-20 00:00:00.000 UTC,4599813445.772169,EOA
11,62770555.940545574,2024-03-20 00:00:00.000 UTC,4599813445.772169,Lending
12,152272525.43121484,2024-03-20 00:00:00.000 UTC,4599813445.772169,Dex
13,345155343.9614025,2024-03-20 00:00:00.000 UTC,4599813445.772169,Bridge
14,315490064.52379286,2024-03-20 00:00:00.000 UTC,4599813445.772169,Other
15,1373045029.842516,2024-03-20 00:00:00.000 UTC,4599813445.772169,Dai Savings
16,719771.0040123017,2024-03-19 00:00:00.000 UTC,4638131399.777414,Treasury
17,346693737.35349834,2024-03-19 00:00:00.000 UTC,4638131399.777414,Other
18,125380900.52461714,2024-03-19 00:00:00.000 UTC,4638131399.777414,Dex
19,344173096.9208011,2024-03-19 00:00:00.000 UTC,4638131399.777414,Bridge
20,57010995.26096868,2024-03-19 00:00:00.000 UTC,4638131399.777414,Lending
21,33172644.854396254,2024-03-19 00:00:00.000 UTC,4638131399.777414,CeFi
22,2331494938.8988547,2024-03-19 00:00:00.000 UTC,4638131399.777414,EOA
23,1399485314.9602656,2024-03-19 00:00:00.000 UTC,4638131399.777414,Dai Savings
24,719771.0040123017,2024-03-18 00:00:00.000 UTC,4678745141.916525,Treasury
25,2321774310.264741,2024-03-18 00:00:00.000 UTC,4678745141.916525,EOA
26,343816406.33544123,2024-03-18 00:00:00.000 UTC,4678745141.916525,Bridge
27,126679081.67359771,2024-03-18 00:00:00.000 UTC,4678745141.916525,Dex
28,62763133.66138101,2024-03-18 00:00:00.000 UTC,4678745141.916525,Lending
29,353008358.69220513,2024-03-18 00:00:00.000 UTC,4678745141.916525,Other
30,29240159.443267398,2024-03-18 00:00:00.000 UTC,4678745141.916525,CeFi
31,1440743920.8418794,2024-03-18 00:00:00.000 UTC,4678745141.916525,Dai Savings
32,341101562.56894386,2024-03-17 00:00:00.000 UTC,4632555720.087503,Bridge
33,1405341920.9051158,2024-03-17 00:00:00.000 UTC,4632555720.087503,Dai Savings
34,31510036.757207036,2024-03-17 00:00:00.000 UTC,4632555720.087503,CeFi
35,352728000.701156,2024-03-17 00:00:00.000 UTC,4632555720.087503,Other
36,116990698.21745326,2024-03-17 00:00:00.000 UTC,4632555720.087503,Dex
37,2323125031.61885,2024-03-17 00:00:00.000 UTC,4632555720.087503,EOA
38,719771.0040123017,2024-03-17 00:00:00.000 UTC,4632555720.087503,Treasury
39,61038698.314764425,2024-03-17 00:00:00.000 UTC,4632555720.087503,Lending
40,384559660.5049017,2024-03-16 00:00:00.000 UTC,4623455295.023278,Other
41,719771.0040123017,2024-03-16 00:00:00.000 UTC,4623455295.023278,Treasury
42,1362199521.7071004,2024-03-16 00:00:00.000 UTC,4623455295.023278,Dai Savings
43,32109107.70193404,2024-03-16 00:00:00.000 UTC,4623455295.023278,CeFi
44,59788987.97566235,2024-03-16 00:00:00.000 UTC,4623455295.023278,Lending
45,109458656.51907362,2024-03-16 00:00:00.000 UTC,4623455295.023278,Dex
46,342261845.93322045,2024-03-16 00:00:00.000 UTC,4623455295.023278,Bridge
47,2332357743.6773744,2024-03-16 00:00:00.000 UTC,4623455295.023278,EOA
48,2319127310.4630237,2024-03-15 00:00:00.000 UTC,4619185321.055018,EOA
49,32415136.354744956,2024-03-15 00:00:00.000 UTC,4619185321.055018,CeFi
50,57747405.84881043,2024-03-15 00:00:00.000 UTC,4619185321.055018,Lending
51,136415614.21148047,2024-03-15 00:00:00.000 UTC,4619185321.055018,Dex
52,1344551141.7939932,2024-03-15 00:00:00.000 UTC,4619185321.055018,Dai Savings
53,719771.0040123017,2024-03-15 00:00:00.000 UTC,4619185321.055018,Treasury
54,343792460.30165625,2024-03-15 00:00:00.000 UTC,4619185321.055018,Bridge
55,384416481.07729685,2024-03-15 00:00:00.000 UTC,4619185321.055018,Other
56,751001.0000000619,2024-03-14 00:00:00.000 UTC,4530661702.354804,Treasury
57,1335394397.292538,2024-03-14 00:00:00.000 UTC,4530661702.354804,Dai Savings
58,28315619.559846286,2024-03-14 00:00:00.000 UTC,4530661702.354804,CeFi
59,50726912.36245226,2024-03-14 00:00:00.000 UTC,4530661702.354804,Lending
60,129055325.5502223,2024-03-14 00:00:00.000 UTC,4530661702.354804,Dex
61,347453379.03141123,2024-03-14 00:00:00.000 UTC,4530661702.354804,Bridge
62,349284303.5540183,2024-03-14 00:00:00.000 UTC,4530661702.354804,Other
63,2289680764.004316,2024-03-14 00:00:00.000 UTC,4530661702.354804,EOA
64,30404986.683530066,2024-03-13 00:00:00.000 UTC,4526089965.113284,CeFi
65,330355620.04959136,2024-03-13 00:00:00.000 UTC,4526089965.113284,Other
66,751001.0000000619,2024-03-13 00:00:00.000 UTC,4526089965.113284,Treasury
67,1307354707.972069,2024-03-13 00:00:00.000 UTC,4526089965.113284,Dai Savings
68,2293941992.615129,2024-03-13 00:00:00.000 UTC,4526089965.113284,EOA
69,158757834.6086672,2024-03-13 00:00:00.000 UTC,4526089965.113284,Dex
70,349229211.6714896,2024-03-13 00:00:00.000 UTC,4526089965.113284,Bridge
71,55294610.51280877,2024-03-13 00:00:00.000 UTC,4526089965.113284,Lending
72,56351232.12706714,2024-03-12 00:00:00.000 UTC,4508811719.039356,Lending
73,751001.0000000619,2024-03-12 00:00:00.000 UTC,4508811719.039356,Treasury
74,142950546.59098777,2024-03-12 00:00:00.000 UTC,4508811719.039356,Dex
75,2297866374.911673,2024-03-12 00:00:00.000 UTC,4508811719.039356,EOA
76,324453091.4699432,2024-03-12 00:00:00.000 UTC,4508811719.039356,Other
77,347181165.51230127,2024-03-12 00:00:00.000 UTC,4508811719.039356,Bridge
78,1307756928.6076968,2024-03-12 00:00:00.000 UTC,4508811719.039356,Dai Savings
79,31501378.81968663,2024-03-12 00:00:00.000 UTC,4508811719.039356,CeFi
80,54503395.330716126,2024-03-11 00:00:00.000 UTC,4513290637.782787,Lending
81,751001.0000000619,2024-03-11 00:00:00.000 UTC,4513290637.782787,Treasury
82,2310441532.480424,2024-03-11 00:00:00.000 UTC,4513290637.782787,EOA
83,1280371139.7825217,2024-03-11 00:00:00.000 UTC,4513290637.782787,Dai Savings
84,346251778.72538394,2024-03-11 00:00:00.000 UTC,4513290637.782787,Other
85,346253007.17533106,2024-03-11 00:00:00.000 UTC,4513290637.782787,Bridge
86,34203004.02874642,2024-03-11 00:00:00.000 UTC,4513290637.782787,CeFi
87,140515779.2596649,2024-03-11 00:00:00.000 UTC,4513290637.782787,Dex
88,61084522.66487422,2024-03-10 00:00:00.000 UTC,4516494775.7228155,Lending
89,1242841576.5105023,2024-03-10 00:00:00.000 UTC,4516494775.7228155,Dai Savings
90,156888196.02530342,2024-03-10 00:00:00.000 UTC,4516494775.7228155,Dex
91,35379885.09828633,2024-03-10 00:00:00.000 UTC,4516494775.7228155,CeFi
92,2301719623.3028893,2024-03-10 00:00:00.000 UTC,4516494775.7228155,EOA
93,371389801.8395134,2024-03-10 00:00:00.000 UTC,4516494775.7228155,Other
94,346440169.2814467,2024-03-10 00:00:00.000 UTC,4516494775.7228155,Bridge
95,751001.0000000619,2024-03-10 00:00:00.000 UTC,4516494775.7228155,Treasury
96,169344623.11774126,2024-03-09 00:00:00.000 UTC,4343161119.646167,Dex
97,1148119501.977158,2024-03-09 00:00:00.000 UTC,4343161119.646167,Dai Savings
98,35531212.767759524,2024-03-09 00:00:00.000 UTC,4343161119.646167,CeFi
99,319023644.3510914,2024-03-09 00:00:00.000 UTC,4343161119.646167,Other
100,920001.0000000619,2024-03-09 00:00:00.000 UTC,4343161119.646167,Treasury
101,2260379977.847646,2024-03-09 00:00:00.000 UTC,4343161119.646167,EOA
102,61976590.42560456,2024-03-09 00:00:00.000 UTC,4343161119.646167,Lending
103,347865568.1591661,2024-03-09 00:00:00.000 UTC,4343161119.646167,Bridge
104,920001.0000000619,2024-03-08 00:00:00.000 UTC,4342075827.518955,Treasury
105,35113672.236868046,2024-03-08 00:00:00.000 UTC,4342075827.518955,CeFi
106,346884256.20770293,2024-03-08 00:00:00.000 UTC,4342075827.518955,Bridge
107,171201779.74063933,2024-03-08 00:00:00.000 UTC,4342075827.518955,Dex
108,1154512078.5373745,2024-03-08 00:00:00.000 UTC,4342075827.518955,Dai Savings
109,60255165.27915855,2024-03-08 00:00:00.000 UTC,4342075827.518955,Lending
110,315741181.2008102,2024-03-08 00:00:00.000 UTC,4342075827.518955,Other
111,2257447693.3164015,2024-03-08 00:00:00.000 UTC,4342075827.518955,EOA
112,318589743.90434855,2024-03-07 00:00:00.000 UTC,4393339374.565925,Other
113,920001.0000000619,2024-03-07 00:00:00.000 UTC,4393339374.565925,Treasury
114,351954134.078678,2024-03-07 00:00:00.000 UTC,4393339374.565925,Bridge
115,34133156.11485136,2024-03-07 00:00:00.000 UTC,4393339374.565925,CeFi
116,63272042.1105152,2024-03-07 00:00:00.000 UTC,4393339374.565925,Lending
117,2267031727.4389105,2024-03-07 00:00:00.000 UTC,4393339374.565925,EOA
118,1160033043.156271,2024-03-07 00:00:00.000 UTC,4393339374.565925,Dai Savings
119,197405526.7623497,2024-03-07 00:00:00.000 UTC,4393339374.565925,Dex
120,353939973.97791153,2024-03-06 00:00:00.000 UTC,4761313685.993848,Bridge
121,2438813885.9336905,2024-03-06 00:00:00.000 UTC,4761313685.993848,EOA
122,920001.0000000619,2024-03-06 00:00:00.000 UTC,4761313685.993848,Treasury
123,181937240.31699815,2024-03-06 00:00:00.000 UTC,4761313685.993848,Dex
124,1361016691.022254,2024-03-06 00:00:00.000 UTC,4761313685.993848,Dai Savings
125,31531694.60535596,2024-03-06 00:00:00.000 UTC,4761313685.993848,CeFi
126,327031259.7706891,2024-03-06 00:00:00.000 UTC,4761313685.993848,Other
127,66122939.36694773,2024-03-06 00:00:00.000 UTC,4761313685.993848,Lending
128,920001.0000000619,2024-03-05 00:00:00.000 UTC,4709526955.067487,Treasury
129,335727341.79741275,2024-03-05 00:00:00.000 UTC,4709526955.067487,Other
130,2247564914.1801996,2024-03-05 00:00:00.000 UTC,4709526955.067487,EOA
131,352367111.39324534,2024-03-05 00:00:00.000 UTC,4709526955.067487,Bridge
132,173532152.92141438,2024-03-05 00:00:00.000 UTC,4709526955.067487,Dex
133,72701949.50540884,2024-03-05 00:00:00.000 UTC,4709526955.067487,Lending
134,31888838.460372683,2024-03-05 00:00:00.000 UTC,4709526955.067487,CeFi
135,1494824645.809433,2024-03-05 00:00:00.000 UTC,4709526955.067487,Dai Savings
136,31915288.90433904,2024-03-04 00:00:00.000 UTC,4910527126.045629,CeFi
137,180887827.98376024,2024-03-04 00:00:00.000 UTC,4910527126.045629,Dex
138,318897293.0564471,2024-03-04 00:00:00.000 UTC,4910527126.045629,Other
139,350798761.18797773,2024-03-04 00:00:00.000 UTC,4910527126.045629,Bridge
