day,BTC Vault_collateral_usd,ETH Vault_collateral_usd,stETH Vault_collateral_usd,Stablecoin Vault_collateral_usd,Altcoin Vault_collateral_usd,LP Vault_collateral_usd,RWA Vault_collateral_usd,PSM Vault_collateral_usd,BTC Vault_collateral_usd_Status,ETH Vault_collateral_usd_Status,stETH Vault_collateral_usd_Status,Stablecoin Vault_collateral_usd_Status,Altcoin Vault_collateral_usd_Status,LP Vault_collateral_usd_Status,RWA Vault_collateral_usd_Status,PSM Vault_collateral_usd_Status,Daily Portfolio Value
2019-11-18 00:00:00+00:00,0.0,4672730.978732771,0.0,0.0,0.0,0.0,0.0,0.0,Closed,Open,Closed,Closed,Closed,Closed,Closed,Closed,4672730.978732771
2019-11-19 00:00:00+00:00,0.0,22122767.552686755,0.0,0.0,700102.3350364487,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,22822869.887723204
2019-11-20 00:00:00+00:00,0.0,30525178.154600944,0.0,0.0,694219.9926873745,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,31219398.14728832
2019-11-21 00:00:00+00:00,0.0,38308420.11511817,0.0,0.0,682939.770313654,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,38991359.88543182
2019-11-22 00:00:00+00:00,0.0,46466802.6437578,0.0,0.0,1235404.9280544224,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,47702207.57181222
2019-11-23 00:00:00+00:00,0.0,51542632.11025189,0.0,0.0,1771889.0326302797,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,53314521.14288217
2019-11-24 00:00:00+00:00,0.0,49414474.27890033,0.0,0.0,1780888.859558862,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,51195363.1384592
2019-11-25 00:00:00+00:00,0.0,56121157.987370424,0.0,0.0,1815563.5801310255,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,57936721.56750145
2019-11-26 00:00:00+00:00,0.0,57085231.96956847,0.0,0.0,1784566.2907808558,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,58869798.260349326
2019-11-27 00:00:00+00:00,0.0,59861798.50915517,0.0,0.0,1787034.3942513384,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,61648832.90340651
2019-11-28 00:00:00+00:00,0.0,63401229.78421776,0.0,0.0,2090678.4960060478,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,65491908.28022381
2019-11-29 00:00:00+00:00,0.0,65528679.57935712,0.0,0.0,2180665.46032575,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,67709345.03968287
2019-11-30 00:00:00+00:00,0.0,67231471.58886017,0.0,0.0,2094229.0585337158,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,69325700.64739388
2019-12-01 00:00:00+00:00,0.0,72262405.24288656,0.0,0.0,2273999.6796311378,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,74536404.9225177
2019-12-02 00:00:00+00:00,0.0,114008262.68450755,0.0,0.0,3099513.4315994154,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,117107776.11610696
2019-12-03 00:00:00+00:00,0.0,138197000.77391744,0.0,0.0,3232548.858629124,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,141429549.63254657
2019-12-04 00:00:00+00:00,0.0,139005579.05610365,0.0,0.0,3289858.9493183233,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,142295438.00542197
2019-12-05 00:00:00+00:00,0.0,144189708.93506712,0.0,0.0,3552186.94398684,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,147741895.87905395
2019-12-06 00:00:00+00:00,0.0,152745494.2504627,0.0,0.0,3727301.69682872,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,156472795.94729143
2019-12-07 00:00:00+00:00,0.0,157210828.50222716,0.0,0.0,3678977.877091218,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,160889806.3793184
2019-12-08 00:00:00+00:00,0.0,166374118.21312413,0.0,0.0,3843175.8430761006,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,170217294.05620024
2019-12-09 00:00:00+00:00,0.0,166435359.15659747,0.0,0.0,3808376.784925399,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,170243735.94152287
2019-12-10 00:00:00+00:00,0.0,164359533.28394002,0.0,0.0,3615999.822983983,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,167975533.106924
2019-12-11 00:00:00+00:00,0.0,170154484.0266117,0.0,0.0,3612910.038751077,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,173767394.06536275
2019-12-12 00:00:00+00:00,0.0,177125278.8691372,0.0,0.0,3609781.7877261555,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,180735060.65686336
2019-12-13 00:00:00+00:00,0.0,177718850.35285264,0.0,0.0,3860697.4517948525,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,181579547.8046475
2019-12-14 00:00:00+00:00,0.0,178682101.8609887,0.0,0.0,3702603.74847159,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,182384705.6094603
2019-12-15 00:00:00+00:00,0.0,179651364.31860965,0.0,0.0,3946581.97453437,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,183597946.29314402
2019-12-16 00:00:00+00:00,0.0,175128759.57115147,0.0,0.0,3723833.009889409,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,178852592.58104086
2019-12-17 00:00:00+00:00,0.0,166381155.2130754,0.0,0.0,3560332.1687243106,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,169941487.3817997
2019-12-18 00:00:00+00:00,0.0,181800363.97651482,0.0,0.0,3929289.735017908,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,185729653.7115327
2019-12-19 00:00:00+00:00,0.0,183110497.0798831,0.0,0.0,3834835.9622152736,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,186945333.04209837
2019-12-20 00:00:00+00:00,0.0,185525757.52378866,0.0,0.0,3930419.5021674475,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,189456177.0259561
2019-12-21 00:00:00+00:00,0.0,185572902.96228623,0.0,0.0,3887116.9249689053,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,189460019.88725513
2019-12-22 00:00:00+00:00,0.0,194036529.11449176,0.0,0.0,4038486.763620919,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,198075015.87811267
2019-12-23 00:00:00+00:00,0.0,185772390.78106004,0.0,0.0,3763342.516036841,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,189535733.29709688
2019-12-24 00:00:00+00:00,0.0,187196968.22297025,0.0,0.0,3839467.326016077,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,191036435.54898632
2019-12-25 00:00:00+00:00,0.0,185349631.61759013,0.0,0.0,3733559.1780516305,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,189083190.79564175
2019-12-26 00:00:00+00:00,0.0,185594502.4960177,0.0,0.0,3828876.3243828337,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,189423378.82040054
2019-12-27 00:00:00+00:00,0.0,186063894.30851156,0.0,0.0,3825177.8335523726,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,189889072.14206392
2019-12-28 00:00:00+00:00,0.0,193176913.4802337,0.0,0.0,4240695.640580448,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,197417609.12081414
2019-12-29 00:00:00+00:00,0.0,203526472.3864887,0.0,0.0,4442807.216589254,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,207969279.60307795
2019-12-30 00:00:00+00:00,0.0,198925206.79967272,0.0,0.0,4393658.298587459,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,203318865.0982602
2019-12-31 00:00:00+00:00,0.0,196754606.2217336,0.0,0.0,4174285.003725668,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,200928891.22545928
2020-01-01 00:00:00+00:00,0.0,206599687.38624135,0.0,0.0,4534891.823117616,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,211134579.20935896
2020-01-02 00:00:00+00:00,0.0,200119278.10180575,0.0,0.0,4254634.102286286,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,204373912.20409203
2020-01-03 00:00:00+00:00,0.0,211694080.67623952,0.0,0.0,4330622.220828607,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,216024702.8970681
2020-01-04 00:00:00+00:00,0.0,213492244.37596554,0.0,0.0,4357645.293991027,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,217849889.66995656
2020-01-05 00:00:00+00:00,0.0,217945696.44501433,0.0,0.0,4357156.638490799,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,222302853.08350512
2020-01-06 00:00:00+00:00,0.0,236354524.6524876,0.0,0.0,4404979.685468504,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,240759504.3379561
2020-01-07 00:00:00+00:00,0.0,241090627.35606042,0.0,0.0,4445386.790562201,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,245536014.14662263
2020-01-08 00:00:00+00:00,0.0,241395969.17281973,0.0,0.0,4239800.884506061,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,245635770.05732578
2020-01-09 00:00:00+00:00,0.0,239952270.83091578,0.0,0.0,4091624.406478003,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,244043895.2373938
2020-01-10 00:00:00+00:00,0.0,249981373.56935173,0.0,0.0,4111584.720844089,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,254092958.29019582
2020-01-11 00:00:00+00:00,0.0,250935824.25009635,0.0,0.0,4181041.0385292848,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,255116865.28862563
2020-01-12 00:00:00+00:00,0.0,254086581.42417237,0.0,0.0,4173309.235952055,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,258259890.66012442
2020-01-13 00:00:00+00:00,0.0,253610178.53282347,0.0,0.0,4132180.953697015,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,257742359.4865205
2020-01-14 00:00:00+00:00,0.0,287815343.7364671,0.0,0.0,4567206.087395279,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,292382549.8238624
2020-01-15 00:00:00+00:00,0.0,291648266.10967165,0.0,0.0,4806953.617440131,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,296455219.72711176
2020-01-16 00:00:00+00:00,0.0,290019315.7433357,0.0,0.0,4760895.391293249,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,294780211.13462895
2020-01-17 00:00:00+00:00,0.0,304511016.652266,0.0,0.0,4644830.212054932,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,309155846.86432093
2020-01-18 00:00:00+00:00,0.0,328020669.9432024,0.0,0.0,4573976.9921506075,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,332594646.935353
2020-01-19 00:00:00+00:00,0.0,313059320.8614767,0.0,0.0,4421053.675622367,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,317480374.53709906
2020-01-20 00:00:00+00:00,0.0,319042700.25327164,0.0,0.0,4586431.025784579,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,323629131.2790562
2020-01-21 00:00:00+00:00,0.0,327306447.3044894,0.0,0.0,4537078.82796377,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,331843526.13245314
2020-01-22 00:00:00+00:00,0.0,325696401.8420885,0.0,0.0,4461421.273212204,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,330157823.1153007
2020-01-23 00:00:00+00:00,0.0,318417587.0052194,0.0,0.0,4236616.637278759,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,322654203.64249814
2020-01-24 00:00:00+00:00,0.0,319091378.09015024,0.0,0.0,4291818.326238647,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,323383196.41638887
2020-01-25 00:00:00+00:00,0.0,315563841.2647308,0.0,0.0,4205788.358522704,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,319769629.6232535
2020-01-26 00:00:00+00:00,0.0,329072793.53169507,0.0,0.0,4315958.942000364,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,333388752.47369546
2020-01-27 00:00:00+00:00,0.0,340513128.95996356,0.0,0.0,4620180.085250965,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,345133309.04521453
2020-01-28 00:00:00+00:00,0.0,349844581.6265365,0.0,0.0,4517062.075977087,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,354361643.7025136
2020-01-29 00:00:00+00:00,0.0,355550125.5164812,0.0,0.0,4437841.6338736685,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,359987967.15035486
2020-01-30 00:00:00+00:00,0.0,371817329.260376,0.0,0.0,4551426.030146017,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,376368755.290522
2020-01-31 00:00:00+00:00,0.0,361828850.0616255,0.0,0.0,4434805.238558591,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,366263655.3001841
2020-02-01 00:00:00+00:00,0.0,369256304.57391775,0.0,0.0,4587246.63945063,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,373843551.21336836
2020-02-02 00:00:00+00:00,0.0,377689258.20053035,0.0,0.0,4653248.917406653,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,382342507.117937
2020-02-03 00:00:00+00:00,0.0,377122842.7891721,0.0,0.0,4795658.954933703,0.0,0.0,0.0,Closed,Open,Closed,Closed,Open,Closed,Closed,Closed,381918501.7441058
