,ETH Vault_collateral_usd,stETH Vault_collateral_usd,BTC Vault_collateral_usd,Altcoin Vault_collateral_usd,Stablecoin Vault_collateral_usd,LP Vault_collateral_usd,PSM Vault_collateral_usd
2022-05-20,4496633464.71031,338989048.6091837,1181007476.2901444,264377037.9633676,199468842.26404798,59873320.81131361,2609668277.449741
2022-05-21,3251849492.5353146,679271408.4580481,1511535426.5924764,476170839.07865864,470553873.70035803,722595148.5211391,2029578265.9117527
2022-05-22,3081745290.609526,591718126.2996398,1371329689.6007638,466691476.2337206,531221145.5667874,838860433.1140034,2134958935.4738758
2022-05-23,3072080365.9740553,554507744.9047711,1377978367.490701,480781595.6929975,525188884.65460235,859647294.2848486,2104448320.1492603
2022-05-24,3069945096.539006,598786988.052515,1369842241.96814,467303461.38475263,528744136.7360067,862224052.5095147,2104602403.7788496
2022-05-25,3055508361.5582047,620128356.3788356,1368703045.6093273,486588971.40733427,525125773.0500111,829105116.6443803,2101720771.431467
2022-05-26,3071136261.45862,624674981.8618231,1384900500.6561232,494095878.6718165,520955920.1582565,871295087.2901852,2099020225.7893126
2022-05-27,3067375149.1772246,559241265.9564128,1388032478.1268492,491513091.40282375,527610099.1541443,874770781.1039119,2124961249.324451
2022-05-28,3066600719.6331306,657050735.9325438,1386314155.6781814,477190604.1544367,527423507.17960984,875401356.350922,2112579974.1031048
2022-05-29,3071162329.595511,667197155.9345171,1401555570.4631193,458316203.88883597,518925497.4285445,883711562.5081958,2133252422.0775387
2022-05-30,3093848085.818878,690276369.7695917,1404774687.8277996,486263817.3200075,517068273.2661337,858188862.7451341,2142656878.095812
2022-05-31,3082783901.148453,639101911.5552369,1423589185.9810703,468626938.9148345,511243661.76704514,886022537.6633906,2145644414.3698313
2022-06-01,3108113548.992741,679049214.4954756,1430444630.7056935,445505286.54808736,513235408.7132485,888044206.766454,2149773778.0540476
2022-06-02,3091649586.7146354,715554639.5377651,1440726583.2771401,488931106.6519846,519970262.726866,852028844.0184784,2161797893.6923194
2022-06-03,3113641764.3726125,652120157.2528038,1456431257.1732244,478228274.52673614,516963209.6199854,907346131.3466344,2183611402.8353453
2022-06-04,3107450064.2836685,681861001.4742184,1460770133.3441315,448923491.8078917,515009225.742559,910591993.2893735,2192812365.678455
2022-06-05,3111958568.3840733,661793366.2152908,1431394752.3820179,479804633.4468757,510387694.9295459,908579533.2624627,2194065390.068627
2022-06-06,3090163894.0296965,715611936.8532227,1434171331.1028776,507410026.2775858,520561414.08010066,947304178.740946,2184359427.941698
2022-06-07,3125466076.2507057,655516019.7265335,1437583337.3298118,484399645.004587,516596312.8394697,953664546.925027,2221945112.750607
2022-06-08,3129963679.3031583,756419414.685312,1475731565.255307,465525596.2466187,506515666.40547884,901407436.1388841,2222111172.603052
2022-06-09,3149850326.7001085,727961059.7244496,1482427478.82981,509778016.2135078,504817305.6387498,857072402.573525,2243870571.521911
2022-06-10,3121444971.174357,678154518.5047717,1479975678.7122583,464089224.78750867,502339534.6042644,958878219.4698802,2244815655.453261
2022-06-11,3148320892.6019573,686555744.0808009,1487505380.1820242,470034829.82457316,508983019.561228,1012120636.6182775,2233093176.3951483
2022-06-12,3154527441.9654293,752119019.5827588,1483635800.660554,481689706.46447057,500470069.4974895,981848189.5412496,2268801361.112648
2022-06-13,3166828370.563066,708114422.3931378,1525189525.5768335,484111730.0995056,501706630.0917515,892136825.5560486,2290793196.2521152
2022-06-14,3173450061.9259357,720586276.7658893,1493594641.0101554,457720848.4324824,509764373.52619946,958700378.9902525,2266384874.173751
2022-06-15,3161626370.085,707338225.9730526,1513414650.669583,487424038.12183034,504436738.2228295,958198506.4366622,2264063394.058021
2022-06-16,3155602519.1637516,701123275.1733167,1501979619.7451923,487492154.88131934,514669901.80286163,974811027.1281915,2281687691.6535487
2022-06-17,3165603824.5412655,752730572.6417534,1516561135.0096896,475540303.9857121,508360657.28830063,982528228.7940116,2292159578.6545973
2022-06-18,3159795774.6168284,707025227.7524837,1551989185.5678363,481598975.62355804,506259332.7483987,970879254.3847382,2321249428.8892975
2022-06-19,3165167672.109179,738222801.529817,1524456845.2603772,510441261.53357315,502805088.4238562,935755483.0643,2323570440.4848027
2022-06-20,3171215738.525995,771172801.1330152,1527813797.6076968,488655983.96184206,513436746.7843822,866015683.0490822,2326482298.449423
2022-06-21,3165649439.114229,760161896.0841066,1519131863.244455,465794884.1220965,506086396.875546,939623275.4483752,2313627218.598049
2022-06-22,3147146959.5900645,724772020.8710473,1545250338.859637,483393958.4638891,496815562.9955352,950699844.3266579,2336763875.4535875
2022-06-23,3130589975.9351416,745806146.8703834,1525342289.3689592,493069457.51249695,505535382.59188104,924182010.3144828,2342474506.100086
2022-06-24,3139897389.500935,750693146.9926338,1514434535.3820481,483213742.26859474,504021779.28696024,920274453.0703276,2331011557.85213
2022-06-25,3135589078.54324,773912594.3797069,1512771725.2842824,496981668.1956,518415647.30987614,915956370.3422508,2341321558.335324
2022-06-26,3145487282.1612415,738577742.1731596,1521509145.554985,462338884.31116927,518832691.0039546,906753322.9711801,2357027192.0560875
2022-06-27,3137731508.634856,698331683.755837,1522907387.0989783,493294471.14181405,501788055.60191447,815727906.6841044,2335920724.7982874
2022-06-28,3086372216.9187655,714074215.3653556,1502558455.7622201,483785634.67788833,501777231.3775442,825339314.8559909,2314070600.8398194
2022-06-29,3042320443.758177,670403307.3376192,1476762744.8067892,476077104.045134,516835132.5790693,1016343269.3282001,2281875819.993535
2022-06-30,3060591713.972285,699088339.4682124,1506846806.827826,489704690.8956515,512285926.5424385,899163091.6424888,2308485189.730206
2022-07-01,3057104536.6277776,701691773.8442026,1520969758.772835,495933060.5573268,506839688.79424715,912006622.9981381,2313034566.5445657
2022-07-02,3075711448.1978974,703110168.5316746,1484044935.0641384,475731829.51496816,519857799.8818048,947012338.5305536,2315666762.9599814
2022-07-03,3075826262.3651705,727026324.7820144,1476856301.830409,492722577.87518144,512889707.7053428,856326434.0082258,2338789682.9683437
2022-07-04,3052907888.6597886,710320832.8237462,1481693541.7464278,491178093.08594,505118000.4223509,920254754.892693,2337799839.801769
2022-07-05,3067956176.540828,784330203.471235,1487520229.9902945,481973530.62777865,486886187.6161623,943781423.4673904,2332387520.9805746
2022-07-06,3096917165.2883916,709560761.9365674,1522281071.8563304,490579648.0490763,517358723.5629951,892547796.6856897,2365832416.8871555
2022-07-07,3082837602.749774,730388795.0187864,1526806449.0876396,495470063.6163546,519411770.68314105,924546673.2915155,2374087642.34928
2022-07-08,3098656291.539695,691037908.7317959,1512963657.366198,487637533.81881607,514592897.11317605,924105409.3931476,2393497461.162847
2022-07-09,3071645870.311904,728744038.2213458,1511847696.4871302,498564577.239007,506698671.3932366,918288779.7945731,2388213374.8268366
2022-07-10,3082163284.0907454,694733451.1535978,1506809077.5743287,490642182.4060112,501738111.7416746,977027945.8787338,2389693192.463435
2022-07-11,3070416681.5964255,665482679.1524745,1495096586.8928106,467494696.6665112,503624271.46845305,923144071.9654253,2409949797.8876305
2022-07-12,3038768479.0045714,686467222.6208632,1481800636.6066983,471264185.5881249,517374875.7843549,882227445.164435,2383297333.2738996
2022-07-13,2997776065.131782,755740539.7145369,1471587943.675045,453817970.46253264,515558168.080662,882191856.283581,2367694887.3657637
2022-07-14,2995717151.259589,744841793.8912758,1466432237.0078056,505917699.57412374,493853504.24215627,1010652888.5225637,2375036173.2528124
