,ETH Vault_collateral_usd,stETH Vault_collateral_usd,BTC Vault_collateral_usd,Altcoin Vault_collateral_usd,Stablecoin Vault_collateral_usd,LP Vault_collateral_usd,PSM Vault_collateral_usd
2022-05-20,4466597621.440401,353696886.91976607,1195887467.2086706,242727395.0847851,201864957.857023,78834862.35107855,2609930414.6759405
2022-05-21,3242805222.6111774,651090255.1112808,1511725709.3983295,472246988.4478977,469944359.7984891,717886576.6340789,2035115356.4744203
2022-05-22,3142473005.961778,603908851.7251899,1383675282.8504584,442723307.6172844,533821714.5695863,876816741.6618183,2121539423.311609
2022-05-23,3134090627.0183573,587060139.1821125,1407386354.2669687,486858748.7946075,524097983.5908391,843445419.6126243,2111142151.3430817
2022-05-24,3151046849.764237,650735997.5430892,1374546609.6347125,463613734.67202497,533040130.9126509,830095121.8876452,2110621384.2231688
2022-05-25,3135668718.68389,578152495.6752565,1395286092.9722311,477439760.11941975,537253431.6550056,869188493.884313,2111649194.329766
2022-05-26,3160321744.3655167,627403593.6315026,1406538643.2541902,503790530.37628186,534067679.0156968,806654178.7791014,2095411012.7972164
2022-05-27,3170371596.432836,613540430.2818301,1416596056.7560203,483123490.99819714,538576896.8609709,830481188.9358146,2095704880.584262
2022-05-28,3170070436.337182,590612741.4454441,1408034536.6691103,488556715.2576068,538536270.839671,840269284.7716483,2111777000.706333
2022-05-29,3192528421.7150555,606528836.7826145,1382597511.3100097,487885232.4105969,532956673.752911,841927395.7444538,2089048571.5087767
2022-05-30,3176403712.9432783,567890106.3506389,1397523596.724606,492740865.26572335,537071711.5748322,868719709.4434197,2082109151.6865032
2022-05-31,3205832587.6825137,584282006.291211,1409918116.6656168,480767210.1746987,541114556.5674148,847394368.9283414,2079640474.9993477
2022-06-01,3194939384.5437574,522735749.9144547,1420385601.3458736,482234660.0195578,528965667.44150376,825358728.2715071,2063421828.7062905
2022-06-02,3153049973.155415,536607204.3751837,1395017569.073905,472252216.6482086,539575140.8622086,834297593.6007575,2042717276.41765
2022-06-03,3165956051.001359,549381245.1027905,1374378482.8229992,462688437.3404901,536748551.53176546,860237478.3317288,1998168277.2604725
2022-06-04,3135911165.4247994,590733037.3755344,1386469063.348421,474433438.73834544,543409005.5953646,857002621.135829,1988167008.5818524
2022-06-05,3186276132.3616467,583897458.3317041,1375349231.4348853,491838872.04519945,538454946.9972497,827404790.3789192,2008759702.8296227
2022-06-06,3193595074.0128036,505687011.0112928,1386183806.799219,507102162.4533224,532366236.66402996,839963039.438415,2015371016.1519496
2022-06-07,3192202487.2891793,522185592.08383924,1363033314.10397,477229959.7050044,542443272.7075539,846339494.2439975,1992221011.7540843
2022-06-08,3208879668.762715,560077702.4435811,1378145777.9568646,489540940.0226754,540853070.5246514,802387191.0269243,1961679233.5272427
2022-06-09,3193009521.240034,566943497.0497694,1403635079.371395,469297710.08526874,544786532.2076036,856522634.4694804,1966768529.8775246
2022-06-10,3218010942.9516478,493401226.8810872,1395293354.0140302,512249465.357154,538049152.6554064,854386204.1434801,1968717557.032195
2022-06-11,3235996309.0896177,574514351.3218316,1398070762.6706433,482922161.34138256,541009927.036386,875443434.0411309,1962546493.8307264
2022-06-12,3256758976.0791,558372272.9690925,1371083903.6039376,513372451.17033905,539902130.7575814,874406872.2121431,1970207856.7709944
2022-06-13,3286814883.7401743,563503109.6702136,1414635371.35204,493370271.0844683,538879360.192841,892612199.9730611,1990242722.4430757
2022-06-14,3300372752.4582825,544219898.0949436,1429494617.9354873,483569644.1368385,547688978.9314082,879772621.2387701,2000187947.2458417
2022-06-15,3323254093.6131277,573639571.2214,1415864764.6487179,468948319.3611646,539905300.6456556,806875424.1907438,1994370180.4961536
2022-06-16,3294311961.2003484,570374891.0864979,1397878504.7471662,458756990.06492764,529442530.87750036,840704339.1694878,1980431404.6656945
2022-06-17,3283043962.473206,535294071.5882033,1414374628.7461529,476991927.23699397,546992273.4274505,844537529.1045375,1962996316.1225255
2022-06-18,3254128577.5397644,583877393.3836837,1414712813.343452,444090407.05793196,529232245.8971417,846037714.1905694,1979781913.3311045
2022-06-19,3214162770.7815742,535441354.88019884,1406796848.5820117,484155265.01461715,539154700.4458158,821471129.0397009,1979694634.582798
2022-06-20,3200714657.917946,537242002.5789504,1384436225.2608612,455570226.07013977,534016066.0222985,820619323.4653177,1949065091.0068557
2022-06-21,3166460312.149469,648818804.0424948,1377121018.1439571,484014982.36507607,534301805.7499654,823312656.3437322,1938791446.4265833
2022-06-22,3177616945.806184,555708539.4826062,1373536584.1509132,494386095.34624517,536664142.85676134,816212143.2182404,1954800969.1023524
2022-06-23,3174315921.29347,587997812.0790334,1381481868.2849247,472231167.98853534,531612891.33679444,869896162.800532,1943188962.5018287
2022-06-24,3177070938.534666,613699171.2938193,1377416662.9343936,501837471.7800367,531276122.65325797,834458726.5861162,1975944455.048796
2022-06-25,3172127198.701121,624317857.3383657,1409456983.1134424,464956403.1911576,523698691.1867926,822897837.1291486,1976016902.4664464
2022-06-26,3177755127.5353813,648058629.231335,1370843131.2264826,455917310.2072244,518798331.28295374,894913762.7802445,1982053879.9963489
2022-06-27,3177063443.2720695,605842569.2846452,1420267798.7803197,452966546.05191964,539027702.4673586,839517199.233853,1997307183.7409956
2022-06-28,3170290873.5767097,583174946.6845478,1393261291.9757679,459813577.19036955,527625638.28932333,880795606.9644055,1996701452.8934443
2022-06-29,3148902373.6421337,600061394.6015235,1395046876.8830833,453148893.3164498,521410178.6727007,818089164.4541006,1997644629.1025639
2022-06-30,3117009857.3021975,634638449.2714257,1365302897.6134584,448526928.960218,531323816.68001604,818526169.4858979,1985657649.1648424
2022-07-01,3130618145.471392,682115638.3803585,1374704235.6546416,487187809.6561849,529051880.1048853,869930192.9437642,1976073531.8965354
2022-07-02,3143715493.817045,571640965.6180569,1414653463.2652438,486498603.18846506,532028185.28572166,910911724.6439168,2009903821.8865895
2022-07-03,3161577913.143965,622528841.4110181,1403332914.4232194,466538543.9393526,529212696.5341253,918492017.3361857,2021071908.3553562
2022-07-04,3181144967.236539,644776498.8432671,1431455101.0394135,467635234.2268784,525869792.05234575,890885283.9302343,2048586695.4762852
2022-07-05,3183417833.357048,653458584.4699737,1404431521.4460602,458552320.08280987,509918497.151897,815925930.8349788,2067157672.4593356
2022-07-06,3133244421.1039925,653227095.6132896,1395669215.2044082,468358307.6708953,519238632.9874379,797941517.8112726,2052937238.152932
2022-07-07,3144105011.220123,660673809.0910512,1391286646.604985,490306225.6007973,506642070.7055602,835816844.7815535,2030490350.4012938
2022-07-08,3136133595.8648267,677420029.8800614,1399159077.0404236,454546955.3246102,504503561.264668,819924780.8153448,2029753788.8674002
2022-07-09,3111558222.6611996,603857863.7409898,1411098742.5866213,491577156.85981303,503710631.70335495,798396384.9140453,2017173680.4689298
2022-07-10,3092488773.760179,647465562.1124815,1364357097.8761654,490015386.8044198,517030863.0408326,900522864.3531178,2014210167.108542
2022-07-11,3108152865.033709,622356828.6802176,1379293247.7589896,484400614.6887193,503834262.8366458,800644031.8008465,2019261592.4657502
2022-07-12,3069499068.1296263,641971406.7936596,1391736195.9215817,445665860.8594912,519127107.3347281,846833054.8878332,2006795385.9371758
2022-07-13,3079897083.853824,660959557.6039037,1378040198.005073,466725317.92937416,509495691.18271327,811449995.673401,1990828598.0843892
2022-07-14,3095136496.244424,630785280.1442168,1357374155.9327447,461807091.6110099,507299438.9315166,870958967.2866836,1972582635.02659
2022-07-15,3068848051.497177,703331923.31077,1385359581.9459715,482758025.0867641,510318941.06059283,924709862.2849693,1963903536.4084988
2022-07-16,3118167514.8843436,606471886.7616413,1400836728.2979386,484780526.0928525,497455048.1689168,796286913.9371921,2008819634.5244923
2022-07-17,3060591382.841382,661665081.5935864,1371209560.5900745,449437562.8775967,507228528.99250543,867645114.9709544,1962470514.4178326
2022-07-18,3071391714.0479546,623184738.2811078,1404109602.6146472,442960724.571177,503412004.9169909,860675129.2974362,1952100369.6416051
2022-07-19,3079013869.985424,669561893.1406999,1365827843.8948748,460331324.41031706,492268710.159987,869332788.0035664,1932752784.9239554
2022-07-20,3097162518.5420094,661274378.2526015,1368649224.8806398,467821086.30871654,509332369.5451065,856833848.0278277,1934915848.121448
2022-07-21,3072820699.6340933,625022537.1863035,1389997888.9697073,451050562.3160838,505270363.6824326,966042038.664257,1939932201.544988
2022-07-22,3099650628.505061,663762029.4105781,1413860617.42693,448073549.78514546,497568180.8249394,889114404.2575833,1949129160.299096
2022-07-23,3105716906.6890874,631014269.9347912,1387568926.638751,453387560.9937781,505841801.2375642,811047911.2949336,1946194447.4514446
2022-07-24,3081694078.950318,642099222.1502806,1381384347.866766,430860112.95088017,517055393.4412711,902270727.5934886,1915670495.4281085
2022-07-25,3096677727.2863603,640503924.4470102,1395222972.2213218,432112413.2995815,502354989.99834067,834391735.8611349,1922000242.9184852
2022-07-26,3096107013.12828,637710483.4507506,1368605173.8013687,435760058.1772132,508038268.5903563,820962768.1297523,1883198962.6781178
2022-07-27,3050439703.846897,694988084.8925937,1369387311.1211927,468958847.87488,499939195.7594868,928271771.5900573,1863915433.9341056
2022-07-28,3104913634.063172,604666336.2260342,1405779288.8078768,470774215.5681478,502482603.64512,935139457.0782641,1899508519.9627967
2022-07-29,3101264085.1334543,616498315.8749151,1385570470.0037303,475703451.4468217,498732186.3408511,939555975.7884657,1904924531.339428
2022-07-30,3132739480.5701003,653528583.023372,1396580368.9651155,452801583.9640849,501848358.93598276,811057767.881082,1904758688.3418565
2022-07-31,3112135154.997156,630330973.5164481,1395281117.369563,461213982.5768748,504337936.99539804,915933114.3038433,1874352106.5837376
2022-08-01,3121169075.469195,646283646.298067,1397803621.4236438,458143617.8125897,491558656.5393076,905907532.6981586,1872450165.9153318
2022-08-02,3133620782.826731,637372565.5120163,1404299071.6535962,449436406.9607883,490399880.2312289,956464668.9357142,1871397453.5534468
2022-08-03,3159978921.5320473,712324641.409441,1397108181.1530373,415094613.08932346,504840565.6807707,862712192.2166532,1874903193.4923956
2022-08-04,3132419287.1880436,630102307.1267792,1435320338.1604283,451668030.9465364,504032309.4461855,745841421.2273093,1862192852.83388
2022-08-05,3086557126.153469,669291015.9650325,1386739134.3122256,463999950.7729775,485957661.24533147,888433886.6763003,1834044915.4365869
2022-08-06,3082216906.396951,655122074.5511813,1377448851.2469845,460320344.63635164,499000962.93340075,880566537.3496747,1850649148.9477167
2022-08-07,3087923300.7692533,646959714.5035195,1391794652.2706404,429318397.49490434,506027387.3102151,879120444.8129123,1838648084.8993566
2022-08-08,3050907397.7302437,699864473.3255535,1375612360.5914052,448158691.478001,521656649.35712767,925081600.6771169,1845276156.4404485
2022-08-09,3099699390.242739,688824474.1017748,1398349308.517028,433344683.89134693,499945672.8118692,859218249.3410621,1868893012.1082883
2022-08-10,3087687186.0690594,685690491.662297,1415707589.2943752,434096645.8072097,499227493.7108711,903631666.3449823,1867436538.0918083
2022-08-11,3125012512.3537464,622904819.1173197,1403008629.7655177,431660146.8409618,516888355.2989029,934081061.9378692,1882781304.6582139
2022-08-12,3091463602.2017374,686558131.755957,1437837504.2539487,434591584.7529524,492647304.66148406,801475411.7054248,1889148768.0458345
2022-08-13,3077585830.5984745,633593304.0877489,1389066468.1202755,439342977.1476862,503126068.6875427,810737727.7652682,1868935003.5335865
2022-08-14,3007784907.279797,639252060.6052934,1407899897.552278,448697500.4408292,504578867.991085,944746667.3672634,1824513425.4988194
2022-08-15,3039044734.243033,688008599.0733976,1428051391.0509894,463142415.59836763,488979151.7593241,788078389.537188,1857125470.9687812
2022-08-16,3028204579.1378055,699762986.8309739,1400310493.1741421,432913828.0156085,500757570.4930596,861352835.6773635,1846911639.3885422
2022-08-17,3008795120.8752146,711041922.8707261,1376612107.403689,428285057.1050491,487380538.7817579,742874847.6757276,1855025291.7452784
2022-08-18,2964640071.9029436,696096601.1494061,1393110463.1237705,463730983.84007406,489347955.52986103,874761974.7557255,1821138352.237854
2022-08-19,2983278128.1754827,623006206.9980618,1382451710.5551362,466084794.17504823,497961742.7844362,848931338.0354552,1858744785.5766165
2022-08-20,2968221549.452005,673418340.7843013,1363751894.6593149,421271495.8428043,500976320.0233415,779973235.341605,1832609997.1586914
2022-08-21,2931134517.064819,616135475.4695083,1327873213.5747693,413563587.6980312,499495280.5845164,851954784.8044022,1796743112.098155
2022-08-22,2897537516.3235598,698253743.4590061,1338382109.1605136,438294746.83087796,491798031.2632239,726729857.7773541,1780698758.22007
2022-08-23,2861460625.6340556,650625363.3769429,1318859861.0411615,445685067.5076836,498837225.29240704,873874525.5632077,1765477617.2585704
2022-08-24,2870647429.525993,648847777.967995,1321513660.2313175,404507914.3272916,488164261.32386315,825175278.7053201,1782119039.8357892
2022-08-25,2849641881.8801947,620820720.9140213,1332571032.367692,475634036.0024441,481050838.4774551,841046183.5059971,1749242727.8221405
2022-08-26,2862334386.691635,616240852.044727,1337580544.7853198,410782417.93753713,487700632.39701957,877576292.3904986,1763840489.549899
2022-08-27,2851645255.3218927,709241020.7944986,1317483990.1866624,476079442.7545653,486120672.3041977,763253561.455733,1771542692.9809563
2022-08-28,2840863472.4176116,648471485.415225,1346409959.0523095,433949896.5933257,500424954.5748865,900777547.1637734,1771110377.4562733
2022-08-29,2874986068.8996034,668202933.4051511,1358070449.9102128,433726220.25383604,488218443.2753048,816272895.8464551,1792307963.5064273
2022-08-30,2838017169.8869534,663238256.1517648,1348025003.2387648,444485359.3387545,483185581.33029807,851131105.4430572,1785516764.4422755
2022-08-31,2842739300.992161,666168725.1680734,1354597993.18123,437329326.36992884,489212794.14902383,737823243.4094117,1808487622.7812617
2022-09-01,2803957959.9521832,623122665.6353966,1325571977.6453233,459196578.5741517,497830608.42343485,863084132.6410748,1761272143.5518284
2022-09-02,2826114277.2394853,660810459.4632549,1370973388.7900372,437028595.1474128,481767788.5541234,863903341.057288,1754742330.9327276
2022-09-03,2838770767.0223017,621134902.927177,1371457156.7304265,470603979.7367604,468951526.32167166,793448148.2073854,1771255418.0956864
2022-09-04,2793582875.4311857,600788838.7743633,1341570232.712789,428918207.3829935,488720315.75556666,891237280.4403104,1770953716.544693
2022-09-05,2785731755.1216564,603867808.9299561,1351092716.2160904,455215197.51654047,493219320.11326534,841679679.026672,1753361324.9674149
2022-09-06,2782553815.483481,622420898.2947692,1344492523.5349846,431054482.69804263,490971279.33871067,865327401.3366799,1750945086.8030815
2022-09-07,2803392910.3907366,677208564.045965,1326049401.1526542,447904213.4850574,493458543.6798905,857458601.9098129,1758698725.304562
2022-09-08,2783279610.182276,655654235.6348474,1353137408.0067708,448540189.20653933,481613433.8742497,716915034.7640986,1775299337.2245772
2022-09-09,2733660767.4805064,619569335.2994069,1342216717.3863266,457359221.8820352,481341996.6305441,837062563.3480392,1737004126.4838052
2022-09-10,2763656163.521866,596673884.4295572,1353692887.7854164,445234220.82445234,476884323.8242509,860768563.803346,1725405463.140169
2022-09-11,2752207616.329026,668488357.3058437,1326336311.1485255,446198231.324043,490807349.6353919,759503650.7304863,1729182737.7914858
2022-09-12,2727717891.9534955,639407734.3763968,1338955709.9226735,426854006.44544387,470418208.34114665,829240184.741514,1711226992.8998365
2022-09-13,2703317538.0113664,635843548.918266,1309138095.1553316,428117403.19795865,495435099.4642561,977049664.2294948,1709809640.583948
